name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Alex McCarthy,Southampton,52,GK,0,0,4,2,0,26,0,0,0,42,3,45,16.0,1620,1,3,0,0,0,0,0,0,2017-18,0
Morgan Schneiderlin,Everton,52,MID,0,0,6,4,1,38,0,0,0,0,1,50,21.0,2124,1,3,0,0,0,0,0,0,2017-18,0
Mousa Dembélé,Spurs,52,MID,0,0,7,6,0,22,0,0,0,0,3,50,20.0,1875,1,1,0,0,0,0,0,0,2017-18,0
Paul Dummett,Newcastle,52,DEF,0,0,5,1,0,18,0,0,0,0,0,45,16.0,1602,1,1,0,0,0,0,0,0,2017-18,1
Robert Kenedy Nunes do Nascimento,Newcastle,51,MID,2,2,6,1,0,9,0,0,0,0,5,50,11.0,1023,1,1,0,0,0,0,0,0,2017-18,1
Jacob Murphy,Newcastle,51,MID,1,2,2,0,0,25,0,0,0,0,2,55,11.0,1137,1,1,0,0,0,0,0,0,2017-18,1
Andy King,Swansea,51,MID,3,1,1,2,0,26,0,0,0,0,1,45,10.0,1247,1,2,0,0,0,0,0,0,2017-18,0
Florent Hadergjonaj,Huddersfield,51,DEF,0,1,4,3,0,28,0,0,0,0,5,45,16.0,1670,3,1,0,0,0,0,0,0,2017-18,1
Ramadan Sobhi,Stoke,51,MID,2,1,2,2,0,30,0,0,0,0,2,50,12.0,1227,1,2,0,0,0,0,0,0,2017-18,0
Jeffrey Schlupp,Crystal Palace,50,DEF,0,2,3,3,0,30,0,0,0,0,0,50,20.0,1742,1,2,0,0,0,0,0,0,2017-18,0
Jonjoe Kenny,Everton,50,DEF,0,2,5,2,0,31,0,0,0,0,2,45,17.0,1589,1,3,0,0,0,0,0,0,2017-18,0
Tommy Smith,Huddersfield,50,DEF,0,1,5,7,0,31,0,0,0,0,2,50,19.0,1902,1,1,0,0,0,0,0,0,2017-18,1
Javier Manquillo,Newcastle,49,DEF,0,1,4,2,0,31,0,0,0,0,1,45,20.0,1757,1,1,0,0,0,0,0,0,2017-18,1
Mikel Merino,Newcastle,49,MID,1,1,3,4,0,18,0,0,0,0,4,50,14.0,1337,1,1,0,0,0,0,0,0,2017-18,1
Luke Shaw,Man Utd,48,DEF,0,0,7,2,0,2,0,0,0,0,4,50,8.0,787,1,4,0,0,0,0,0,0,2017-18,0
Etienne Capoue,Watford,48,MID,1,1,4,3,0,29,0,0,0,0,0,55,15.0,1537,1,2,0,0,0,0,0,0,2017-18,0
Orestis Karnezis,Watford,47,GK,0,0,4,0,0,24,0,0,0,34,5,45,14.0,1291,4,2,0,0,0,0,0,0,2017-18,0
Victor Lindelöf,Man Utd,47,DEF,0,0,5,1,0,14,0,0,0,0,1,55,14.0,1284,1,4,0,0,0,0,0,0,2017-18,0
Marouane Fellaini,Man Utd,47,MID,4,0,4,1,0,1,0,0,0,0,3,50,5.0,611,1,4,0,0,0,0,0,0,2017-18,0
Jack Wilshere,Arsenal,46,MID,1,3,4,6,0,16,0,0,0,0,2,55,12.0,1185,1,4,0,0,0,0,0,0,2017-18,0
João Mário Naval Costa Eduardo,West Ham,46,MID,2,1,4,0,0,14,0,0,0,0,5,65,10.0,1021,25,2,0,0,0,0,0,0,2017-18,0
Elias Kachunga,Huddersfield,46,MID,1,1,6,1,0,23,0,0,0,0,0,60,12.0,1327,1,1,0,0,0,0,0,0,2017-18,1
James McClean,West Brom,45,MID,1,0,6,7,0,20,1,0,0,0,1,50,12.0,1391,1,2,0,0,0,0,0,0,2017-18,0
Collin Quaner,Huddersfield,44,FWD,0,4,3,4,0,23,0,0,0,0,0,45,9.0,1268,1,1,0,0,0,0,0,0,2017-18,1
Ander Herrera,Man Utd,44,MID,0,2,5,5,0,14,0,0,0,0,0,55,12.0,1257,1,4,0,0,0,0,0,0,2017-18,0
Tomer Hemed,Brighton,43,FWD,2,2,3,0,0,8,0,0,0,0,5,50,8.0,842,1,1,0,0,0,0,0,0,2017-18,1
Toby Alderweireld,Spurs,43,DEF,0,0,5,3,0,13,0,0,0,0,3,60,13.0,1177,1,1,0,0,0,0,0,0,2017-18,0
Sebastian Prödl,Watford,42,DEF,0,0,5,5,0,29,0,0,0,0,0,45,16.0,1566,1,2,0,0,0,0,0,0,2017-18,0
Winston Reid,West Ham,42,DEF,0,0,5,5,0,27,0,0,0,0,3,50,15.0,1452,1,2,0,0,0,0,0,0,2017-18,0
Nathan Dyer,Swansea,41,MID,0,1,3,2,0,21,0,0,0,0,0,45,13.0,1300,1,2,0,0,0,0,0,0,2017-18,0
Isaac Hayden,Newcastle,41,MID,1,0,3,7,0,25,0,0,0,0,0,45,14.0,1365,1,1,0,0,0,0,0,0,2017-18,1
Joel Ward,Crystal Palace,41,DEF,0,1,4,4,0,25,1,0,0,0,0,50,17.0,1613,1,2,0,0,0,0,0,0,2017-18,0
Leroy Fer,Swansea,41,MID,1,1,4,5,0,26,0,0,0,0,0,55,14.0,1394,1,2,0,0,0,0,0,0,2017-18,0
Papa Alioune Ndiaye,Stoke,41,MID,2,1,2,5,0,17,0,0,0,0,5,55,13.0,1138,26,2,0,0,0,0,0,0,2017-18,0
Scott Malone,Huddersfield,41,DEF,0,1,3,3,0,23,0,0,0,0,4,45,10.0,1110,1,1,0,0,0,0,0,0,2017-18,1
Moritz Bauer,Stoke,41,DEF,0,0,5,4,0,18,0,0,0,0,1,45,15.0,1307,23,2,0,0,0,0,0,0,2017-18,0
Declan Rice,West Ham,41,DEF,0,0,3,1,0,29,0,0,0,0,0,45,13.0,1421,1,2,0,0,0,0,0,0,2017-18,0
Alex Pritchard,Huddersfield,40,MID,1,2,3,1,0,12,0,0,0,0,3,55,10.0,997,23,1,0,0,0,0,0,0,2017-18,1
Pierre-Emile Højbjerg,Southampton,39,MID,0,0,3,6,0,30,0,0,0,0,0,45,17.0,1666,1,3,0,0,0,0,0,0,2017-18,0
Timothy Fosu-Mensah,Crystal Palace,39,DEF,0,0,2,2,0,29,0,0,0,0,3,45,18.0,1592,1,2,0,0,0,0,0,0,2017-18,0
