name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Cole Palmer,Chelsea,239,MID,22,13,7,7,0,44,0,0,0,0,32,50,3,1125,1190,1080,1150,1170,1230,2023-24,0
Ollie Watkins,Aston Villa,227,FWD,19,18,7,4,0,56,0,0,0,0,29,80,4,1160,1285,1140,1220,1180,1350,2023-24,0
Phil Foden,Man City,220,MID,18,7,14,2,0,26,0,0,0,0,31,75,5,1355,1365,1350,1360,1360,1370,2023-24,0
Bukayo Saka,Arsenal,219,MID,16,10,16,4,0,27,0,0,0,0,29,85,5,1350,1365,1370,1370,1330,1360,2023-24,0
Erling Haaland,Man City,210,FWD,26,8,11,1,0,24,0,1,0,0,29,140,5,1355,1365,1350,1360,1360,1370,2023-24,0
Son Heung-min,Spurs,209,MID,17,9,8,1,0,51,1,0,0,0,25,90,4,1170,1230,1110,1150,1230,1310,2023-24,0
Mohamed Salah,Liverpool,197,MID,17,11,8,2,0,29,0,2,0,0,22,125,4,1240,1370,1210,1350,1270,1390,2023-24,0
Martin Ødegaard,Arsenal,186,MID,8,11,19,2,0,23,0,0,0,0,26,85,5,1350,1365,1370,1370,1330,1360,2023-24,0
Jarrod Bowen,West Ham,182,MID,16,6,5,2,0,63,0,0,0,0,14,70,3,1100,1145,1055,1140,1150,1150,2023-24,0
Benjamin White,Arsenal,180,DEF,4,5,18,8,0,25,0,0,0,0,14,55,5,1350,1365,1370,1370,1330,1360,2023-24,0
Anthony Gordon,Newcastle,178,MID,11,15,12,10,1,45,0,0,0,0,14,55,3,1105,1280,1050,1210,1160,1355,2023-24,0
Dominic Solanke,Bournemouth,174,FWD,19,3,10,3,0,61,0,1,0,0,20,65,3,1100,1100,1055,1130,1145,1075,2023-24,0
Bruno Borges Fernandes,Man Utd,166,MID,10,9,7,9,0,52,0,1,0,0,24,85,3,1125,1220,1130,1210,1120,1230,2023-24,0
Kai Havertz,Arsenal,166,MID,12,9,16,10,0,19,0,0,0,0,15,75,5,1350,1365,1370,1370,1330,1360,2023-24,0
Alexander Isak,Newcastle,165,FWD,20,4,7,1,0,41,0,1,0,0,23,75,3,1105,1280,1050,1210,1160,1355,2023-24,0
William Saliba,Arsenal,164,DEF,2,1,18,4,0,29,0,0,0,0,13,50,5,1350,1365,1370,1370,1330,1360,2023-24,0
Declan Rice,Arsenal,163,MID,7,9,17,5,0,27,0,0,0,0,17,55,5,1350,1365,1370,1370,1330,1360,2023-24,0
Rodrigo Hernandez,Man City,161,MID,8,10,14,8,0,26,0,0,0,0,19,55,5,1355,1365,1350,1360,1360,1370,2023-24,0
Bruno Guimarães Rodriguez Moura,Newcastle,153,MID,7,9,10,8,0,60,0,0,0,0,15,60,3,1105,1280,1050,1210,1160,1355,2023-24,0
Jordan Pickford,Everton,153,GK,0,0,13,5,0,51,1,0,0,121,22,45,3,1095,1100,1125,1125,1065,1080,2023-24,0
Pascal Groß,Brighton,152,MID,4,11,7,5,0,48,0,0,0,0,29,65,3,1100,1210,1070,1180,1135,1240,2023-24,0
Gabriel dos Santos Magalhães,Arsenal,147,DEF,3,1,16,4,0,26,1,0,0,0,8,50,5,1350,1365,1370,1370,1330,1360,2023-24,0
Jean-Philippe Mateta,Crystal Palace,144,FWD,15,5,8,3,0,38,0,0,0,0,20,50,3,1070,1100,1080,1120,1060,1085,2023-24,0
Douglas Luiz Soares de Paulo,Aston Villa,143,MID,9,4,6,12,0,57,0,0,0,0,24,55,4,1160,1285,1140,1220,1180,1350,2023-24,0
Julián Álvarez,Man City,142,FWD,9,10,12,2,0,24,0,0,0,0,17,65,5,1355,1365,1350,1360,1360,1370,2023-24,0
Morgan Gibbs-White,Nott'm Forest,140,MID,5,12,5,9,0,56,0,0,0,0,13,60,3,1065,1100,1050,1125,1080,1080,2023-24,0
Bernardo Veiga de Carvalho e Silva,Man City,139,MID,6,9,10,6,0,26,0,0,0,0,20,65,5,1355,1365,1350,1360,1360,1370,2023-24,0
Pedro Porro,Spurs,136,DEF,3,8,7,3,0,52,0,0,0,0,20,50,4,1170,1230,1110,1150,1230,1310,2023-24,0
David Raya Martin,Arsenal,135,GK,0,0,16,2,0,24,0,0,1,46,6,50,5,1350,1365,1370,1370,1330,1360,2023-24,0
Bernd Leno,Fulham,133,GK,0,0,10,3,0,61,1,0,0,134,15,45,3,1055,1175,1050,1180,1060,1170,2023-24,0
André Onana,Man Utd,133,GK,0,0,9,5,0,58,0,0,0,149,10,50,3,1125,1220,1130,1210,1120,1230,2023-24,0
Matheus Santos Carneiro Da Cunha,Wolves,133,FWD,12,7,6,7,0,44,0,0,0,0,15,55,3,1100,1100,1085,1105,1115,1100,2023-24,0
Nicolas Jackson,Chelsea,133,FWD,13,6,9,10,0,43,0,0,0,0,11,70,3,1125,1190,1080,1150,1170,1230,2023-24,0
Conor Gallagher,Chelsea,130,MID,5,8,8,7,0,52,0,0,0,0,10,55,3,1125,1190,1080,1150,1170,1230,2023-24,0
Eberechi Eze,Crystal Palace,129,MID,11,4,8,3,0,27,0,0,0,0,11,65,3,1070,1100,1080,1120,1060,1085,2023-24,0
Luis Díaz,Liverpool,128,MID,7,6,7,3,0,32,0,0,0,0,9,75,4,1240,1370,1210,1350,1270,1390,2023-24,0
Carlton Morris,Luton,128,FWD,10,4,3,4,0,70,0,0,0,0,16,55,2,1055,1090,1020,1060,1090,1120,2023-24,1
Dejan Kulusevski,Spurs,124,MID,8,3,8,7,0,42,0,0,0,0,14,70,4,1170,1230,1110,1150,1230,1310,2023-24,0
Jarrad Branthwaite,Everton,124,DEF,3,1,12,8,0,44,0,0,0,0,10,40,3,1095,1100,1125,1125,1065,1080,2023-24,0
Kyle Walker,Man City,122,DEF,0,5,10,2,0,29,0,0,0,0,13,50,5,1355,1365,1350,1360,1360,1370,2023-24,0
Dwight McNeil,Everton,121,MID,3,8,12,2,0,39,0,0,0,0,8,55,3,1095,1100,1125,1125,1065,1080,2023-24,0
Moussa Diaby,Aston Villa,121,MID,6,8,8,0,0,35,0,0,0,0,10,65,4,1160,1285,1140,1220,1180,1350,2023-24,0
Joachim Andersen,Crystal Palace,121,DEF,2,3,10,7,0,58,0,0,0,0,12,45,3,1070,1100,1080,1120,1060,1085,2023-24,0
Fabian Schär,Newcastle,121,DEF,4,3,9,4,0,56,0,0,0,0,12,50,3,1105,1280,1050,1210,1160,1355,2023-24,0
Joško Gvardiol,Man City,121,DEF,4,2,9,2,0,22,0,0,0,0,12,50,5,1355,1365,1350,1360,1360,1370,2023-24,0
Alejandro Garnacho,Man Utd,121,MID,7,6,8,4,0,34,0,0,0,0,7,50,3,1125,1220,1130,1210,1120,1230,2023-24,0
Andreas Hoelgebaum Pereira,Fulham,120,MID,3,8,14,6,0,39,0,0,0,0,7,55,3,1055,1175,1050,1180,1060,1170,2023-24,0
John McGinn,Aston Villa,119,MID,6,5,7,9,1,54,0,0,0,0,9,55,4,1160,1285,1140,1220,1180,1350,2023-24,0
