name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Darwin Núñez Ribeiro,Liverpool,95,FWD,7,9,6,6,0,20,0,1,0,0,6,75,4,1240,1370,1210,1350,1270,1390,2023-24,0
Alex Iwobi,Fulham,95,MID,5,2,7,2,0,35,0,0,0,0,9,55,3,1055,1175,1050,1180,1060,1170,2023-24,0
Thiago Emiliano da Silva,Chelsea,95,DEF,3,1,7,4,0,44,0,0,0,0,12,50,3,1125,1190,1080,1150,1170,1230,2023-24,0
Mario Lemina,Wolves,94,MID,4,1,4,9,1,51,0,0,0,0,13,50,3,1100,1100,1085,1105,1115,1100,2023-24,0
Antoine Semenyo,Bournemouth,93,FWD,8,2,8,5,0,25,0,0,0,0,14,45,3,1100,1100,1055,1130,1145,1075,2023-24,0
Brennan Johnson,Spurs,93,MID,3,7,5,2,0,40,0,0,0,0,5,60,4,1170,1230,1110,1150,1230,1310,2023-24,0
Nathan Aké,Man City,92,DEF,2,3,6,0,0,19,0,0,0,0,6,50,5,1355,1365,1350,1360,1360,1370,2023-24,0
Dan Burn,Newcastle,92,DEF,2,1,8,4,0,45,0,0,0,0,4,45,3,1105,1280,1050,1210,1160,1355,2023-24,0
Mathias Jensen,Brentford,91,MID,3,3,9,4,0,40,0,0,0,0,10,55,3,1100,1100,1110,1055,1090,1150,2023-24,0
João Palhinha Gonçalves,Fulham,91,MID,4,1,9,11,0,45,0,0,0,0,8,50,3,1055,1175,1050,1180,1060,1170,2023-24,0
Ezri Konsa Ngoyo,Aston Villa,91,DEF,1,1,7,5,0,54,0,0,0,0,7,45,4,1160,1285,1140,1220,1180,1350,2023-24,0
Vitaly Janelt,Brentford,91,MID,1,4,9,8,0,51,0,0,0,0,1,55,3,1100,1100,1110,1055,1090,1150,2023-24,0
Dominik Szoboszlai,Liverpool,91,MID,3,4,8,1,0,21,0,0,0,0,7,70,4,1240,1370,1210,1350,1270,1390,2023-24,0
Rodrigo Muniz Carvalho,Fulham,90,FWD,9,2,6,0,0,23,0,0,0,0,12,45,3,1055,1175,1050,1180,1060,1170,2023-24,0
Lewis Dunk,Brighton,89,DEF,3,1,5,5,1,52,0,0,0,0,11,50,3,1100,1210,1070,1180,1135,1240,2023-24,0
Justin Kluivert,Bournemouth,89,MID,6,1,11,5,0,22,0,0,0,0,2,50,3,1100,1100,1055,1130,1145,1075,2023-24,0
Gabriel Martinelli Silva,Arsenal,88,MID,3,5,10,1,0,19,0,0,0,0,3,80,5,1350,1365,1370,1370,1330,1360,2023-24,0
Rúben Gato Alves Dias,Man City,86,DEF,0,0,9,0,0,28,1,0,0,0,3,55,5,1355,1365,1350,1360,1360,1370,2023-24,0
Thomas Kaminski,Luton,86,GK,0,0,2,3,0,85,0,0,0,144,3,45,2,1055,1090,1020,1060,1090,1120,2023-24,1
Dominic Calvert-Lewin,Everton,85,FWD,5,3,13,2,0,21,0,0,0,0,8,60,3,1095,1100,1125,1125,1065,1080,2023-24,0
Simon Adingra,Brighton,85,MID,5,1,4,3,0,30,0,0,0,0,8,50,3,1100,1210,1070,1180,1135,1240,2023-24,0
James Garner,Everton,84,MID,1,2,11,6,0,43,0,0,0,0,3,50,3,1095,1100,1125,1125,1065,1080,2023-24,0
Illia Zabarnyi,Bournemouth,84,DEF,1,0,8,5,0,67,0,0,0,0,3,45,3,1100,1100,1055,1130,1145,1075,2023-24,0
Vladimír Coufal,West Ham,84,DEF,0,7,4,5,1,69,0,0,0,0,9,45,3,1100,1145,1055,1140,1150,1150,2023-24,0
Pau Torres,Aston Villa,83,DEF,2,0,6,1,0,35,0,0,0,0,4,45,4,1160,1285,1140,1220,1180,1350,2023-24,0
Ryan Christie,Bournemouth,83,MID,0,4,8,6,0,53,0,0,0,0,5,50,3,1100,1100,1055,1130,1145,1075,2023-24,0
Moisés Caicedo Corozo,Chelsea,82,MID,1,3,7,11,0,48,0,0,0,0,6,50,3,1125,1190,1080,1150,1170,1230,2023-24,0
João Pedro Junqueira de Jesus,Brighton,82,FWD,7,2,5,0,0,28,0,1,0,0,10,55,3,1100,1210,1070,1180,1135,1240,2023-24,0
Pedro Lomba Neto,Wolves,82,MID,2,11,3,4,0,25,0,0,0,0,8,55,3,1100,1100,1085,1105,1115,1100,2023-24,0
Max Kilman,Wolves,82,DEF,2,0,5,7,0,65,0,0,0,0,3,45,3,1100,1100,1085,1105,1115,1100,2023-24,0
Emerson Palmieri dos Santos,West Ham,82,DEF,1,4,5,10,0,65,1,0,0,0,8,45,3,1100,1145,1055,1140,1150,1150,2023-24,0
Marcus Tavernier,Bournemouth,81,MID,3,3,8,3,0,35,0,0,0,0,5,55,3,1100,1100,1055,1130,1145,1075,2023-24,0
Willian Borges da Silva,Fulham,80,MID,3,3,9,0,0,20,0,0,0,0,6,55,3,1055,1175,1050,1180,1060,1170,2023-24,0
