name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Tyrick Mitchell,Crystal Palace,58,DEF,1,2,4,1,0,32,0,0,0,0,5,40,18.0,1710,3,1090,1110,1030,1120,1010,1020,2020-21,0
Ayoze Pérez,Leicester,58,MID,2,1,5,2,0,21,0,0,0,0,2,65,13.0,1322,4,1240,1260,1190,1150,1150,1230,2020-21,0
Adam Lallana,Brighton,58,MID,1,1,5,0,0,18,0,0,0,0,2,65,12.0,1584,3,1130,1130,1150,1190,1100,1130,2020-21,0
Antonee Robinson,Fulham,57,DEF,0,0,5,4,1,28,0,0,0,0,1,45,23.0,2159,3,1090,1100,1150,1110,1040,1060,2020-21,1
John Egan,Sheffield Utd,57,DEF,0,1,4,7,1,48,0,0,0,0,4,50,29.0,2628,2,1000,1040,1020,1070,1000,1010,2020-21,0
Marcos Alonso,Chelsea,57,DEF,2,1,5,2,0,13,0,0,0,0,5,60,10.0,958,4,1250,1280,1260,1300,1250,1310,2020-21,0
Enda Stevens,Sheffield Utd,56,DEF,0,1,4,6,0,54,0,0,0,0,2,55,29.0,2700,2,1000,1040,1020,1070,1000,1010,2020-21,0
Jordan Henderson,Liverpool,56,MID,1,2,4,0,0,23,0,0,0,0,2,55,18.0,1704,4,1250,1210,1190,1210,1300,1230,2020-21,0
Mario Lemina,Fulham,55,MID,1,1,3,5,0,27,0,0,0,0,3,45,17.0,1696,3,1090,1100,1150,1110,1040,1060,2020-21,1
Steven Bergwijn,Spurs,55,MID,1,4,5,3,0,15,0,0,0,0,2,75,13.0,1202,4,1190,1250,1130,1170,1250,1290,2020-21,0
Oliver Norwood,Sheffield Utd,54,MID,0,0,5,6,0,43,0,0,0,0,0,50,22.0,2214,2,1000,1040,1020,1070,1000,1010,2020-21,0
Patrick van Aanholt,Crystal Palace,54,DEF,0,2,4,2,0,36,0,0,0,0,5,55,18.0,1775,3,1090,1110,1030,1120,1010,1020,2020-21,0
Mateo Kovacic,Chelsea,54,MID,0,1,9,4,0,26,0,0,0,0,0,55,18.0,1809,4,1250,1280,1260,1300,1250,1310,2020-21,0
Federico Fernández,Newcastle,53,DEF,0,0,5,4,0,38,1,0,0,0,6,50,23.0,2080,2,1050,1070,1050,1060,1030,1110,2020-21,0
Gary Cahill,Crystal Palace,53,DEF,1,1,4,3,0,39,0,0,0,0,6,45,19.0,1800,3,1090,1110,1030,1120,1010,1020,2020-21,0
Jeff Hendrick,Newcastle,52,MID,2,1,3,1,1,24,0,0,0,0,3,50,14.0,1418,2,1050,1070,1050,1060,1030,1110,2020-21,0
Matt Ritchie,Newcastle,52,MID,0,5,3,2,0,22,1,0,0,0,5,50,15.0,1347,2,1050,1070,1050,1060,1030,1110,2020-21,0
Ben Davies,Spurs,52,DEF,0,2,4,1,0,16,0,0,0,0,1,50,14.0,1340,4,1190,1250,1130,1170,1250,1290,2020-21,0
Ben Davies,Liverpool,52,DEF,0,2,4,1,0,16,0,0,0,0,1,50,14.0,1340,4,1250,1210,1190,1210,1300,1230,2020-21,0
Oriol Romeu Vidal,Southampton,52,MID,1,1,6,6,0,25,0,0,0,0,4,45,18.0,1762,3,1060,1100,1030,1110,1110,1160,2020-21,0
Ben Osborn,Sheffield Utd,51,MID,1,0,4,1,0,29,0,0,0,0,3,50,16.0,1599,2,1000,1040,1020,1070,1000,1010,2020-21,0
Chris Basham,Sheffield Utd,51,DEF,0,1,2,5,0,51,0,0,0,0,2,50,29.0,2576,2,1000,1040,1020,1070,1000,1010,2020-21,0
Oluwasemilogo Adesewo Ibidapo Ajayi,West Brom,51,DEF,2,1,1,3,1,71,0,0,0,0,2,50,29.0,2779,2,1050,1040,1040,1000,1050,1040,2020-21,1
Mohamed Naser El Sayed Elneny,Arsenal,50,MID,1,0,5,3,0,20,0,0,0,0,3,45,16.0,1538,4,1200,1250,1130,1150,1220,1210,2020-21,0
Curtis Jones,Liverpool,50,MID,1,2,5,2,0,14,0,0,0,0,0,45,11.0,1169,4,1250,1210,1190,1210,1300,1230,2020-21,0
Kenny Tete,Fulham,50,DEF,0,1,5,3,0,27,0,0,0,0,3,45,13.0,1477,3,1090,1100,1150,1110,1040,1060,2020-21,1
Tyler Roberts,Leeds,49,MID,1,2,4,3,0,19,0,0,0,0,0,50,9.0,1330,3,1160,1170,1060,1150,1210,1170,2020-21,1
André Filipe Tavares Gomes,Everton,48,MID,0,1,5,3,0,22,0,0,0,0,0,55,14.0,1559,3,1250,1130,1130,1100,1200,1140,2020-21,0
Alexis Mac Allister,Brighton,48,MID,1,1,5,1,0,14,0,0,0,0,3,55,12.0,1108,3,1130,1130,1150,1190,1100,1130,2020-21,0
John Lundstram,Sheffield Utd,48,MID,0,2,3,8,1,41,0,1,0,0,2,55,21.0,2027,2,1000,1040,1020,1070,1000,1010,2020-21,0
Martin Dubravka,Newcastle,48,GK,0,0,3,0,0,19,0,0,0,45,6,50,13.0,1170,2,1050,1070,1050,1060,1030,1110,2020-21,0
Takumi Minamino,Southampton,48,MID,3,0,2,1,0,18,0,0,0,0,2,65,11.0,999,3,1060,1100,1030,1110,1110,1160,2020-21,0
Matt Doherty,Spurs,47,DEF,0,2,4,2,1,15,0,0,0,0,4,60,13.0,1238,4,1190,1250,1130,1170,1250,1290,2020-21,0
Olivier Giroud,Chelsea,47,FWD,4,0,4,1,0,5,0,0,0,0,6,70,9.0,740,4,1250,1280,1260,1300,1250,1310,2020-21,0
Tom Davies,Everton,47,MID,0,1,5,3,0,23,0,0,0,0,1,55,15.0,1417,3,1250,1130,1130,1100,1200,1140,2020-21,0
Allan Marques Loureiro,Everton,47,MID,0,0,7,6,0,30,0,0,0,0,0,55,21.0,2050,3,1250,1130,1130,1100,1200,1140,2020-21,0
Ciaran Clark,Newcastle,46,DEF,1,0,3,3,0,35,1,0,0,0,2,45,21.0,1890,2,1050,1070,1050,1060,1030,1110,2020-21,0
Oliver Burke,Sheffield Utd,46,MID,1,2,1,2,0,21,0,0,0,0,0,45,11.0,1260,2,1000,1040,1020,1070,1000,1010,2020-21,0
Moussa Djenepo,Southampton,46,MID,1,2,3,5,0,27,0,0,0,0,0,55,10.0,1229,3,1060,1100,1030,1110,1110,1160,2020-21,0
James McArthur,Crystal Palace,45,MID,0,2,4,3,0,26,0,0,0,0,3,55,17.0,1465,3,1090,1110,1030,1120,1010,1020,2020-21,0
Emil Krafth,Newcastle,45,DEF,1,1,5,4,0,27,0,0,0,0,0,45,15.0,1286,2,1050,1070,1050,1060,1030,1110,2020-21,0
James Milner,Liverpool,44,MID,0,2,4,3,0,10,0,0,0,0,2,55,9.0,1056,4,1250,1210,1190,1210,1300,1230,2020-21,0
Ethan Ampadu,Sheffield Utd,44,DEF,0,0,2,3,0,41,1,0,0,0,4,45,22.0,2087,2,1000,1040,1020,1070,1000,1010,2020-21,0
Oliver McBurnie,Sheffield Utd,44,FWD,1,2,0,2,0,27,0,0,0,0,2,60,11.0,1316,2,1000,1040,1020,1070,1000,1010,2020-21,0
Jamaal Lascelles,Newcastle,44,DEF,2,0,2,4,0,32,0,0,0,0,3,45,16.0,1625,2,1050,1070,1050,1060,1030,1110,2020-21,0
Jamal Lewis,Newcastle,44,DEF,0,1,3,4,0,37,0,0,0,0,3,45,19.0,1833,2,1050,1070,1050,1060,1030,1110,2020-21,0
Moussa Sissoko,Spurs,44,MID,0,0,5,3,0,22,0,0,0,0,2,50,15.0,1576,4,1190,1250,1130,1170,1250,1290,2020-21,0
Davinson Sánchez,Spurs,43,DEF,0,0,4,1,0,22,1,0,0,0,3,55,15.0,1486,4,1190,1250,1130,1170,1250,1290,2020-21,0
Raúl Jiménez,Wolves,43,FWD,4,1,4,0,0,10,1,0,0,0,7,85,9.0,824,3,1080,1110,1120,1130,1040,1120,2020-21,0
Issa Diop,West Ham,42,DEF,2,0,2,3,0,22,1,0,0,0,1,45,15.0,1379,4,1230,1260,1140,1190,1260,1290,2020-21,0
Arthur Masuaku,West Ham,42,DEF,0,2,4,2,0,15,0,0,0,0,4,45,11.0,1006,4,1230,1260,1140,1190,1260,1290,2020-21,0
Joel Matip,Liverpool,42,DEF,1,2,3,2,0,5,0,0,0,0,5,55,6.0,690,4,1250,1210,1190,1210,1300,1230,2020-21,0
Sébastien Haller,West Ham,41,FWD,3,0,3,0,0,12,0,0,0,0,4,65,9.0,932,4,1230,1260,1140,1190,1260,1290,2020-21,0
Nampalys Mendy,Leicester,41,MID,0,1,4,5,0,25,0,0,0,0,0,45,16.0,1452,4,1240,1260,1190,1150,1150,1230,2020-21,0
Dara O'Shea,West Brom,41,DEF,0,0,3,3,0,51,0,0,0,0,1,45,19.0,2099,2,1050,1040,1040,1000,1050,1040,2020-21,1
Sean Longstaff,Newcastle,41,MID,0,1,2,2,0,26,0,0,0,0,1,50,15.0,1405,2,1050,1070,1050,1060,1030,1110,2020-21,0
Michy Batshuayi,Crystal Palace,41,FWD,2,2,2,0,0,15,0,0,0,0,2,60,7.0,717,3,1090,1110,1030,1120,1010,1020,2020-21,0
Jack Stephens,Southampton,41,DEF,0,0,4,2,0,39,0,0,0,0,6,50,16.0,1537,3,1060,1100,1030,1110,1110,1160,2020-21,0
David Luiz Moreira Marinho,Arsenal,41,DEF,1,0,3,1,1,20,0,0,0,0,0,55,13.0,1396,4,1200,1250,1130,1150,1220,1210,2020-21,0
Isaac Hayden,Newcastle,40,MID,0,0,4,8,0,33,0,0,0,0,0,50,20.0,1942,2,1050,1070,1050,1060,1030,1110,2020-21,0
Paul Dummett,Newcastle,40,DEF,1,0,3,2,0,20,0,0,0,0,2,45,14.0,1254,2,1050,1070,1050,1060,1030,1110,2020-21,0
Billy Sharp,Sheffield Utd,39,FWD,3,0,0,1,0,15,0,0,0,0,6,60,6.0,725,2,1000,1040,1020,1070,1000,1010,2020-21,0
Fabián Balbuena,West Ham,39,DEF,1,0,4,1,1,19,0,0,0,0,0,45,13.0,1197,4,1230,1260,1140,1190,1260,1290,2020-21,0
Jayden Bogle,Sheffield Utd,39,DEF,2,0,2,2,0,20,0,0,0,0,0,45,11.0,1107,2,1000,1040,1020,1070,1000,1010,2020-21,0
Grady Diangana,West Brom,39,MID,1,0,1,0,0,33,0,0,0,0,0,55,13.0,1230,2,1050,1040,1040,1000,1050,1040,2020-21,1
Ryan Fraser,Newcastle,39,MID,0,4,4,0,1,18,0,0,0,0,0,60,8.0,922,2,1050,1070,1050,1060,1030,1110,2020-21,0
Scott Dann,Crystal Palace,39,DEF,1,1,2,1,0,24,0,0,0,0,1,45,15.0,1350,3,1090,1110,1030,1120,1010,1020,2020-21,0
Robin Koch,Leeds,38,DEF,0,0,4,1,0,21,0,0,0,0,2,45,12.0,1130,3,1160,1170,1060,1150,1210,1170,2020-21,1
Aaron Connolly,Brighton,38,FWD,2,1,1,0,0,17,0,0,0,0,2,55,7.0,783,3,1130,1130,1150,1190,1100,1130,2020-21,0
Mathew Ryan,Arsenal,37,GK,0,0,3,1,0,21,0,0,0,24,0,45,14.0,1260,4,1200,1250,1130,1150,1220,1210,2020-21,0
Dennis Praet,Leicester,37,MID,1,2,3,0,0,11,0,0,0,0,1,55,7.0,714,4,1240,1260,1190,1150,1150,1230,2020-21,0
Nathan Tella,Southampton,36,MID,1,2,2,2,0,11,0,0,0,0,2,45,5.0,735,3,1060,1100,1030,1110,1110,1160,2020-21,0
Gabriel Teodoro Martinelli Silva,Arsenal,36,MID,2,1,4,0,0,3,0,0,0,0,0,50,5.0,582,4,1200,1250,1130,1150,1220,1210,2020-21,0
Calum Chambers,Arsenal,36,DEF,0,3,2,0,0,10,0,0,0,0,3,45,8.0,751,4,1200,1250,1130,1150,1220,1210,2020-21,0
Edward Nketiah,Arsenal,36,FWD,2,1,1,0,0,6,0,0,0,0,5,60,3.0,411,4,1200,1250,1130,1150,1220,1210,2020-21,0
Giovani Lo Celso,Spurs,35,MID,1,1,5,5,0,10,0,0,0,0,0,70,8.0,939,4,1190,1250,1130,1170,1250,1290,2020-21,0
Steven Alzate,Brighton,35,MID,1,0,5,2,0,17,0,0,0,0,3,45,9.0,892,3,1130,1130,1150,1190,1100,1130,2020-21,0
Tariq Lamptey,Brighton,35,DEF,1,3,2,2,1,15,0,0,0,0,2,45,9.0,887,3,1130,1130,1150,1190,1100,1130,2020-21,0
Pablo Marí,Arsenal,34,DEF,0,0,4,2,0,8,0,0,0,0,1,45,10.0,900,4,1200,1250,1130,1150,1220,1210,2020-21,0
Rhian Brewster,Sheffield Utd,34,FWD,0,0,2,1,0,16,0,0,0,0,0,45,8.0,1113,2,1000,1040,1020,1070,1000,1010,2020-21,0
Romaine Sawyers,West Brom,33,MID,0,0,1,2,0,42,1,0,0,0,0,50,16.0,1486,2,1050,1040,1040,1000,1050,1040,2020-21,1
Jack Robinson,Sheffield Utd,32,DEF,0,2,2,3,0,11,0,0,0,0,3,45,9.0,875,2,1000,1040,1020,1070,1000,1010,2020-21,0
Dwight Gayle,Newcastle,31,FWD,1,1,0,0,0,9,0,0,0,0,3,60,3.0,501,2,1050,1070,1050,1060,1030,1110,2020-21,0
Sander Berge,Sheffield Utd,31,MID,1,1,0,4,0,23,0,0,0,0,1,50,11.0,1119,2,1000,1040,1020,1070,1000,1010,2020-21,0
Fabian Schär,Newcastle,30,DEF,1,0,2,4,1,21,0,0,0,0,1,50,12.0,1255,2,1050,1070,1050,1060,1030,1110,2020-21,0
Bamidele Alli,Spurs,30,MID,0,2,3,0,0,9,0,0,0,0,0,80,6.0,613,4,1190,1250,1130,1170,1250,1290,2020-21,0
Hal Robson-Kanu,West Brom,30,FWD,2,0,0,2,0,12,0,0,0,0,3,55,2.0,544,2,1050,1040,1040,1000,1050,1040,2020-21,1
Fraser Forster,Southampton,30,GK,0,0,2,0,0,11,0,0,1,20,0,40,7.0,720,3,1060,1100,1030,1110,1110,1160,2020-21,0
Andy Carroll,Newcastle,30,FWD,1,1,1,1,0,8,0,0,0,0,3,55,2.0,380,2,1050,1070,1050,1060,1030,1110,2020-21,0
Ryan Fredericks,West Ham,28,DEF,1,1,1,2,0,9,0,0,0,0,0,45,5.0,564,4,1230,1260,1140,1190,1260,1290,2020-21,0
Pablo Hernández Domínguez,Leeds,28,MID,0,3,1,1,0,6,0,0,0,0,0,60,3.0,414,3,1160,1170,1060,1150,1210,1170,2020-21,1
Erik Lamela,Spurs,28,MID,1,1,1,4,1,17,0,0,0,0,0,60,3.0,700,4,1190,1250,1130,1170,1250,1290,2020-21,0
Cédric Soares,Arsenal,28,DEF,0,1,2,1,0,11,0,0,0,0,3,50,8.0,744,4,1200,1250,1130,1150,1220,1210,2020-21,0
Manuel Lanzini,West Ham,28,MID,1,1,1,1,0,5,0,0,0,0,0,65,3.0,556,4,1230,1260,1140,1190,1260,1290,2020-21,0
Javier Manquillo,Newcastle,28,DEF,0,0,3,1,0,15,0,0,0,0,0,45,9.0,822,2,1050,1070,1050,1060,1030,1110,2020-21,0
Mark Noble,West Ham,27,MID,0,0,0,1,0,15,0,0,0,0,0,50,7.0,701,4,1230,1260,1140,1190,1260,1290,2020-21,0
Ricardo Domingos Barbosa Pereira,Leicester,27,DEF,0,1,2,3,0,19,0,0,0,0,0,60,8.0,954,4,1240,1260,1190,1150,1150,1230,2020-21,0
Joe Bryan,Fulham,27,DEF,1,1,0,2,0,17,0,0,0,0,2,50,7.0,663,3,1090,1100,1150,1110,1040,1060,2020-21,1
Tom Cairney,Fulham,27,MID,1,1,1,2,0,15,0,0,0,0,2,55,8.0,758,3,1090,1100,1150,1110,1040,1060,2020-21,1
Luke Thomas,Leicester,26,DEF,1,0,1,2,0,18,0,0,0,0,0,45,9.0,968,4,1240,1260,1190,1150,1150,1230,2020-21,0
James McCarthy,Crystal Palace,26,MID,0,0,2,1,0,15,0,0,0,0,0,45,9.0,816,3,1090,1110,1030,1120,1010,1020,2020-21,0
Kepa Arrizabalaga,Chelsea,26,GK,0,0,2,1,0,8,0,0,0,16,5,50,6.0,585,4,1250,1280,1260,1300,1250,1310,2020-21,0
Vitor Ferreira,Wolves,26,MID,0,1,0,0,0,8,0,0,0,0,0,50,4.0,509,3,1080,1110,1120,1130,1040,1120,2020-21,0
Xherdan Shaqiri,Liverpool,26,MID,0,2,2,2,0,7,0,0,0,0,1,65,4.0,548,4,1250,1210,1190,1210,1300,1230,2020-21,0
Ben Johnson,West Ham,25,DEF,1,0,1,1,0,10,0,0,0,0,0,40,5.0,516,4,1230,1260,1140,1190,1260,1290,2020-21,0
Jake Livermore,West Brom,25,MID,0,0,1,2,1,35,1,0,0,0,0,50,12.0,1241,2,1050,1040,1040,1000,1050,1040,2020-21,1
Christian Fuchs,Leicester,24,DEF,0,0,3,4,0,9,0,0,0,0,2,45,8.0,701,4,1240,1260,1190,1150,1150,1230,2020-21,0
Alireza Jahanbakhsh,Brighton,24,MID,0,1,1,3,0,9,0,0,0,0,0,55,2.0,520,3,1130,1130,1150,1190,1100,1130,2020-21,0
Morgan Gibbs-White,Wolves,22,MID,1,0,0,1,0,6,0,0,0,0,3,50,4.0,407,3,1080,1110,1120,1130,1040,1120,2020-21,0
Bernard Anício Caldeira Duarte,Everton,21,MID,1,0,2,2,0,7,0,0,0,0,1,60,3.0,447,3,1250,1130,1130,1100,1200,1140,2020-21,0
Alex Oxlade-Chamberlain,Liverpool,21,MID,1,1,0,0,0,6,0,0,0,0,0,65,,243,4,1250,1210,1190,1210,1300,1230,2020-21,0
Fernando Marçal,Wolves,19,DEF,0,0,1,2,0,9,0,0,0,0,0,50,6.0,618,3,1080,1110,1120,1130,1040,1120,2020-21,0
Daniel Amartey,Leicester,19,DEF,1,0,0,3,0,12,0,0,0,0,2,40,6.0,718,4,1240,1260,1190,1150,1150,1230,2020-21,0
Harry Winks,Spurs,19,MID,0,0,1,5,0,16,0,0,0,0,0,55,8.0,856,4,1190,1250,1130,1170,1250,1290,2020-21,0
James Tomkins,Crystal Palace,18,DEF,0,0,2,1,0,12,0,0,0,0,2,45,5.0,551,3,1090,1110,1030,1120,1010,1020,2020-21,0
Andriy Yarmolenko,West Ham,17,MID,0,1,1,3,0,7,0,0,0,0,0,60,1.0,362,4,1230,1260,1140,1190,1260,1290,2020-21,0
Jamie Shackleton,Leeds,17,MID,0,0,1,0,0,11,0,0,0,0,0,50,3.0,454,3,1160,1170,1060,1150,1210,1170,2020-21,1
Jonathan Castro Otto,Wolves,16,DEF,0,0,1,0,0,4,0,0,0,0,1,55,4.0,496,3,1080,1110,1120,1130,1040,1120,2020-21,0
Naby Keita,Liverpool,15,MID,0,0,2,1,0,8,0,0,0,0,0,55,4.0,517,4,1250,1210,1190,1210,1300,1230,2020-21,0
Virgil van Dijk,Liverpool,15,DEF,1,0,1,1,0,11,0,0,0,0,1,65,4.0,370,4,1250,1210,1190,1210,1300,1230,2020-21,0
Robert Snodgrass,West Brom,14,MID,0,0,0,2,0,14,0,0,0,0,0,60,5.0,528,2,1050,1040,1040,1000,1050,1040,2020-21,1
Hamza Choudhury,Leicester,14,MID,0,0,2,1,0,2,0,0,0,0,0,50,2.0,311,4,1240,1260,1190,1150,1150,1230,2020-21,0
Francisco Casilla Cortés,Leeds,14,GK,0,0,1,0,0,2,0,0,0,8,2,45,3.0,270,3,1160,1170,1060,1150,1210,1170,2020-21,1
Ian Carlo Poveda-Ocampo,Leeds,14,MID,0,0,0,0,0,5,0,0,0,0,0,45,,344,3,1160,1170,1060,1150,1210,1170,2020-21,1
Mohammed Salisu,Southampton,14,DEF,0,0,0,1,0,19,0,0,0,0,0,45,8.0,841,3,1060,1100,1030,1110,1110,1160,2020-21,0
Japhet Tanganga,Spurs,14,DEF,0,0,2,2,0,8,0,0,0,0,0,50,5.0,487,4,1190,1250,1130,1170,1250,1290,2020-21,0
Lys Mousset,Sheffield Utd,13,FWD,0,0,0,0,0,10,0,0,0,0,0,60,1.0,287,2,1000,1040,1020,1070,1000,1010,2020-21,0
DeAndre Yedlin,Newcastle,13,DEF,0,0,1,0,0,6,0,0,0,0,0,45,5.0,435,2,1050,1070,1050,1060,1030,1110,2020-21,0
Josh Onomah,Fulham,13,MID,0,0,0,1,0,12,0,0,0,0,0,50,3.0,369,3,1090,1100,1150,1110,1040,1060,2020-21,1
Shane Long,Southampton,12,FWD,0,0,1,0,0,6,0,0,0,0,0,55,1.0,201,3,1060,1100,1030,1110,1110,1160,2020-21,0
Neco Williams,Liverpool,11,DEF,0,0,1,1,0,1,0,0,0,0,0,40,2.0,247,4,1250,1210,1190,1210,1300,1230,2020-21,0
Adrián San Miguel del Castillo,Liverpool,11,GK,0,0,1,0,0,9,0,0,0,10,2,45,3.0,270,4,1250,1210,1190,1210,1300,1230,2020-21,0
Divock Origi,Liverpool,10,FWD,0,0,1,0,0,0,0,0,0,0,0,55,1.0,180,4,1250,1210,1190,1210,1300,1230,2020-21,0
Matthew Longstaff,Newcastle,10,MID,0,0,1,0,0,8,0,0,0,0,0,50,4.0,376,2,1050,1070,1050,1060,1030,1110,2020-21,0
Joseph Gomez,Liverpool,10,DEF,0,0,0,0,0,14,0,0,0,0,0,55,6.0,589,4,1250,1210,1190,1210,1300,1230,2020-21,0
Tim Ream,Fulham,10,DEF,0,0,0,0,0,13,0,0,0,0,0,45,7.0,630,3,1090,1100,1150,1110,1040,1060,2020-21,1
Darren Randolph,West Ham,10,GK,0,0,1,0,0,3,0,0,0,6,0,45,3.0,270,4,1230,1260,1140,1190,1260,1290,2020-21,0
Max Lowe,Sheffield Utd,9,DEF,0,0,0,1,0,10,0,0,0,0,0,45,5.0,549,2,1000,1040,1020,1070,1000,1010,2020-21,0
Davy Pröpper,Brighton,9,MID,0,0,0,0,0,2,0,0,0,0,0,50,2.0,209,3,1130,1130,1150,1190,1100,1130,2020-21,0
Billy Gilmour,Chelsea,8,MID,0,0,1,0,0,2,0,0,0,0,0,45,2.0,259,4,1250,1280,1260,1300,1250,1310,2020-21,0
Aboubakar Kamara,Fulham,8,MID,0,0,0,1,1,9,0,0,0,0,0,50,1.0,307,3,1090,1100,1150,1110,1040,1060,2020-21,1
Fabian Delph,Everton,8,MID,0,0,0,1,0,6,0,0,0,0,0,50,1.0,260,3,1250,1130,1130,1100,1200,1140,2020-21,0
Kamil Grosicki,West Brom,8,MID,0,1,0,0,0,5,0,0,0,0,0,55,1.0,147,2,1050,1040,1040,1000,1050,1040,2020-21,1
Dale Stephens,Burnley,8,MID,0,0,0,1,0,4,0,0,0,0,0,45,2.0,257,2,1060,1070,1040,1090,1040,1080,2020-21,0
Emerson Palmieri dos Santos,Chelsea,7,DEF,0,0,1,0,0,0,0,0,0,0,0,50,1.0,88,4,1250,1280,1260,1300,1250,1310,2020-21,0
Neeskens Kebano,Fulham,6,MID,0,0,0,0,0,3,0,0,0,0,0,50,1.0,116,3,1090,1100,1150,1110,1040,1060,2020-21,1
Ahmed El-Sayed Hegazy,West Brom,6,DEF,0,0,1,0,0,0,0,0,0,0,0,45,1.0,90,2,1050,1040,1040,1000,1050,1040,2020-21,1
Jonjoe Kenny,Everton,5,DEF,0,0,0,0,0,1,0,0,0,0,0,45,1.0,78,3,1250,1130,1130,1100,1200,1140,2020-21,0
Kieran Gibbs,West Brom,5,DEF,0,0,0,1,1,25,0,0,0,0,0,45,7.0,810,2,1050,1040,1040,1000,1050,1040,2020-21,1
Phil Jagielka,Sheffield Utd,5,DEF,0,0,0,1,1,12,1,0,0,0,0,40,4.0,524,2,1000,1040,1020,1070,1000,1010,2020-21,0
William Smallbone,Southampton,5,MID,0,0,0,0,0,5,0,0,0,0,0,45,1.0,171,3,1060,1100,1030,1110,1110,1160,2020-21,0
Charlie Austin,West Brom,5,FWD,0,0,0,0,0,5,0,0,0,0,0,55,,135,2,1050,1040,1040,1000,1050,1040,2020-21,1
Bernardo Fernandes da Silva Junior,Brighton,5,DEF,0,0,0,0,0,3,0,0,0,0,0,40,2.0,205,3,1130,1130,1150,1190,1100,1130,2020-21,0
Kyle Edwards,West Brom,5,MID,0,0,0,0,0,3,0,0,0,0,0,50,,114,2,1050,1040,1040,1000,1050,1040,2020-21,1
Mamadou Sakho,Crystal Palace,4,DEF,0,0,0,0,0,8,0,0,0,0,0,45,3.0,275,3,1090,1110,1030,1120,1010,1020,2020-21,0
John Ruddy,Wolves,4,GK,0,0,0,0,0,1,0,0,0,3,0,45,1.0,91,3,1080,1110,1120,1130,1040,1120,2020-21,0
Michael Obafemi,Southampton,4,FWD,0,0,0,0,0,2,0,0,0,0,0,50,,57,3,1060,1100,1030,1110,1110,1160,2020-21,0
Cenk Tosun,Everton,4,FWD,0,0,0,1,0,3,0,0,0,0,0,60,,44,3,1250,1130,1130,1100,1200,1140,2020-21,0
Shkodran Mustafi,Arsenal,3,DEF,0,0,0,0,0,1,0,0,0,0,0,50,,45,4,1200,1250,1130,1150,1220,1210,2020-21,0
Jack O'Connell,Sheffield Utd,3,DEF,0,0,0,0,0,3,0,0,0,0,0,50,2.0,180,2,1000,1040,1020,1070,1000,1010,2020-21,0
Yan Valery,Southampton,3,DEF,0,0,0,0,0,4,0,0,0,0,0,50,1.0,101,3,1060,1100,1030,1110,1110,1160,2020-21,0
Anthony Gordon,Everton,3,MID,0,0,0,0,0,0,0,0,0,0,0,45,,87,3,1250,1130,1130,1100,1200,1140,2020-21,0
Wes Morgan,Leicester,3,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,16,4,1240,1260,1190,1150,1150,1230,2020-21,0
Sam Field,West Brom,3,MID,0,0,0,0,0,2,0,0,0,0,0,50,,61,2,1050,1040,1040,1000,1050,1040,2020-21,1
Rekeem Harper,West Brom,2,MID,0,0,0,0,0,2,0,0,0,0,0,45,,30,2,1050,1040,1040,1000,1050,1040,2020-21,1
Leif Davis,Leeds,2,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,31,3,1160,1170,1060,1150,1210,1170,2020-21,1
David Button,West Brom,2,GK,0,0,0,0,0,2,0,0,0,4,0,40,1.0,90,2,1050,1040,1040,1000,1050,1040,2020-21,1
Konstantinos Tsimikas,Liverpool,2,DEF,0,0,0,0,0,0,0,0,0,0,0,50,,6,4,1250,1210,1190,1210,1300,1230,2020-21,0
Reiss Nelson,Arsenal,2,MID,0,0,0,0,0,0,0,0,0,0,0,55,,70,4,1200,1250,1130,1150,1220,1210,2020-21,0
Marek Rodák,Fulham,2,GK,0,0,0,0,0,5,0,0,0,4,0,45,2.0,180,3,1090,1100,1150,1110,1040,1060,2020-21,1
Sead Kolasinac,Arsenal,2,DEF,0,0,0,0,0,1,0,0,0,0,0,50,1.0,90,4,1200,1250,1130,1150,1220,1210,2020-21,0
Moise Kean,Everton,2,FWD,0,0,0,0,0,0,0,0,0,0,0,60,,13,3,1250,1130,1130,1100,1200,1140,2020-21,0
João Virgínia,Everton,2,GK,0,0,0,0,0,0,0,0,0,3,0,45,,47,3,1250,1130,1130,1100,1200,1140,2020-21,0
Felipe Anderson Pereira Gomes,West Ham,2,MID,0,0,0,0,0,0,0,0,0,0,0,65,,2,4,1230,1260,1140,1190,1260,1290,2020-21,0
Oskar Buur,Wolves,1,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,22,3,1080,1110,1120,1130,1040,1120,2020-21,0
Martin Kelly,Crystal Palace,1,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,1,3,1090,1110,1030,1120,1010,1020,2020-21,0
Jake Vokins,Southampton,1,DEF,0,0,0,0,0,2,0,0,0,0,0,40,1.0,66,3,1060,1100,1030,1110,1110,1160,2020-21,0
