name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Marc Albrighton,Leicester,95,MID,2,6,8,5,0,47,0,0,0,0,3,55,27.0,5,0,0,0,0,0,0,2016-17,0
Leroy Fer,Swansea,95,MID,6,2,4,9,0,49,0,0,0,0,5,50,25.0,2,0,0,0,0,0,0,2016-17,0
Aleksandar Kolarov,Man City,95,DEF,1,1,9,6,0,27,1,0,0,0,7,60,27.0,4,0,0,0,0,0,0,2016-17,0
Anthony Martial,Man Utd,95,MID,4,6,9,2,0,13,0,0,0,0,9,95,14.0,4,0,0,0,0,0,0,2016-17,0
Ben Mee,Burnley,94,DEF,1,2,9,5,0,49,2,0,0,0,6,45,33.0,1,0,0,0,0,0,0,2016-17,1
Ryan Shawcross,Stoke,94,DEF,1,2,9,6,0,53,2,0,0,0,6,50,34.0,2,0,0,0,0,0,0,2016-17,0
James McArthur,Crystal Palace,93,MID,5,3,3,5,0,39,0,0,0,0,8,50,23.0,2,0,0,0,0,0,0,2016-17,0
Eric Dier,Spurs,93,MID,2,0,16,6,0,24,0,0,0,0,4,55,32.0,1,0,0,0,0,0,0,2016-17,0
George Boyd,Burnley,92,MID,2,2,9,3,0,45,0,0,0,0,2,55,32.0,1,0,0,0,0,0,0,2016-17,1
Jason Puncheon,Crystal Palace,92,MID,0,6,7,9,0,53,0,0,0,0,6,55,33.0,2,0,0,0,0,0,0,2016-17,0
Wayne Hennessey,Crystal Palace,92,GK,0,0,7,1,0,46,0,0,0,83,4,45,28.0,2,0,0,0,0,0,0,2016-17,0
James Ward-Prowse,Southampton,92,MID,4,4,9,4,0,26,0,0,0,0,5,55,19.0,3,0,0,0,0,0,0,2016-17,0
Marten de Roon,Middlesbrough,91,MID,4,1,8,8,0,44,0,0,0,0,5,45,30.0,1,0,0,0,0,0,0,2016-17,1
Yohan Cabaye,Crystal Palace,91,MID,4,4,7,7,0,41,0,1,0,0,6,60,23.0,2,0,0,0,0,0,0,2016-17,0
Stephen Ward,Burnley,91,DEF,1,1,8,5,0,53,0,0,0,0,3,45,35.0,1,0,0,0,0,0,0,2016-17,1
Ben Davies,Spurs,90,DEF,1,3,8,1,0,13,0,0,0,0,5,50,17.0,1,0,0,0,0,0,0,2016-17,0
Matthew Lowton,Burnley,90,DEF,0,2,9,9,0,53,0,0,0,0,5,45,36.0,1,0,0,0,0,0,0,2016-17,1
Joel Robles,Everton,89,GK,0,1,10,2,0,20,0,0,0,54,5,50,19.0,2,0,0,0,0,0,0,2016-17,0
Alex Iwobi,Arsenal,89,MID,3,5,9,1,0,20,0,0,0,0,8,60,17.0,4,0,0,0,0,0,0,2016-17,0
André Ayew,West Ham,89,MID,6,3,6,1,0,25,0,0,0,0,5,75,14.0,3,0,0,0,0,0,0,2016-17,0
Simon Francis,Bournemouth,89,DEF,0,1,10,4,1,54,0,0,0,0,7,45,32.0,2,0,0,0,0,0,0,2016-17,0
Robert Huth,Leicester,88,DEF,2,2,9,9,0,49,2,0,0,0,1,50,32.0,5,0,0,0,0,0,0,2016-17,0
Benik Afobe,Bournemouth,88,FWD,6,5,5,1,0,24,0,1,0,0,9,60,11.0,2,0,0,0,0,0,0,2016-17,0
José Holebas,Watford,87,DEF,2,4,7,14,0,61,0,0,0,0,9,45,31.0,2,0,0,0,0,0,0,2016-17,0
Gaël Clichy,Man City,87,DEF,1,0,8,2,0,24,0,0,0,0,9,55,22.0,4,0,0,0,0,0,0,2016-17,0
Sam Clucas,Hull,87,MID,3,1,5,9,1,75,0,0,0,0,4,50,35.0,1,0,0,0,0,0,0,2016-17,1
Eldin Jakupovic,Hull,86,GK,0,0,5,0,0,36,0,0,2,73,7,40,22.0,1,0,0,0,0,0,0,2016-17,1
