name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
James Ward-Prowse,Southampton,117,MID,5,4,9,9,0,60,0,2,0,0,8,60,38.0,3420,1,3,1150,1040,1080,1050,1110,1080,2019-20,0
Jordan Pickford,Everton,117,GK,0,0,9,2,0,56,0,0,0,94,5,55,38.0,3420,1,3,1100,1240,1100,1210,1170,1180,2019-20,0
Youri Tielemans,Leicester,117,MID,3,6,12,2,0,35,0,0,0,0,5,65,32.0,2823,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Bamidele Alli,Spurs,117,MID,8,6,4,2,0,25,0,0,0,0,12,85,20.0,1845,1,4,1180,1240,1100,1130,1200,1140,2019-20,0
Bernardo Mota Veiga de Carvalho e Silva,Man City,116,MID,6,7,9,5,0,24,0,0,0,0,7,80,20.0,2021,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Victor Lindelöf,Man Utd,116,DEF,1,0,12,6,0,32,1,0,0,0,9,55,34.0,3092,1,4,1220,1300,1260,1330,1180,1260,2019-20,0
Callum Wilson,Bournemouth,116,FWD,8,6,4,9,0,53,0,0,0,0,8,80,32.0,2906,1,2,1020,1020,990,1030,1000,1050,2019-20,0
Jordan Henderson,Liverpool,116,MID,4,5,16,2,0,14,0,0,0,0,11,55,24.0,2234,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Kyle Walker,Man City,114,DEF,1,4,12,5,0,24,0,0,0,0,7,60,25.0,2392,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Bernd Leno,Arsenal,114,GK,0,0,7,2,0,39,0,0,1,113,10,50,29.0,2649,1,4,1180,1240,1170,1170,1150,1200,2019-20,0
Benjamin Chilwell,Leicester,114,DEF,3,3,9,3,0,26,0,0,0,0,8,55,26.0,2374,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
João Filipe Iria Santos Moutinho,Wolves,113,MID,1,7,11,7,0,36,0,0,0,0,12,55,33.0,3105,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Abdoulaye Doucouré,Watford,113,MID,4,4,10,9,0,61,1,0,0,0,9,60,36.0,3156,1,3,1030,1140,1120,1120,1020,1150,2019-20,0
Michail Antonio,West Ham,111,MID,10,4,3,3,0,30,0,0,0,0,8,70,17.0,1767,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
Jack O'Connell,Sheffield Utd,111,DEF,0,1,12,4,0,28,0,0,0,0,6,45,32.0,2915,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
Todd Cantwell,Norwich,111,MID,6,2,6,6,0,54,0,0,0,0,10,45,28.0,2484,1,2,980,1020,1030,1040,990,990,2019-20,1
Ben Mee,Burnley,110,DEF,1,2,13,7,0,45,0,0,0,0,6,50,32.0,2880,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Miguel Almirón,Newcastle,109,MID,4,2,12,5,0,48,0,0,0,0,5,60,35.0,3020,1,3,1090,1100,1030,1040,980,990,2019-20,0
Patrick van Aanholt,Crystal Palace,109,DEF,3,2,8,0,0,38,1,0,0,0,12,55,28.0,2507,1,3,1130,1120,1080,1180,1040,1040,2019-20,0
Tim Krul,Norwich,109,GK,0,0,5,4,0,68,1,0,2,131,10,45,36.0,3240,1,2,980,1020,1030,1040,990,990,2019-20,1
Troy Deeney,Watford,109,FWD,10,2,6,3,0,39,0,1,0,0,15,65,26.0,2224,1,3,1030,1140,1120,1120,1020,1150,2019-20,0
Georginio Wijnaldum,Liverpool,107,MID,4,0,12,0,0,28,0,0,0,0,5,55,31.0,2933,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Ismaïla Sarr,Watford,107,MID,5,7,6,1,0,35,0,0,0,0,7,65,21.0,2023,1,3,1030,1140,1120,1120,1020,1150,2019-20,0
Nathan Redmond,Southampton,107,MID,4,4,7,2,0,51,0,0,0,0,8,65,30.0,2763,1,3,1150,1040,1080,1050,1110,1080,2019-20,0
Nicolas Pépé,Arsenal,106,MID,5,6,5,4,0,30,0,0,0,0,9,95,22.0,2004,1,4,1180,1240,1170,1170,1150,1200,2019-20,0
Diogo Jota,Wolves,105,FWD,7,3,10,4,0,28,0,0,0,0,12,65,26.0,2278,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Declan Rice,West Ham,105,MID,1,5,7,6,0,62,0,0,0,0,8,50,37.0,3420,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
Mark Noble,West Ham,105,MID,4,4,7,5,0,44,0,0,0,0,8,50,29.0,2675,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
Jonjo Shelvey,Newcastle,105,MID,6,2,8,3,0,34,0,0,0,0,15,50,23.0,2118,1,3,1090,1100,1030,1040,980,990,2019-20,0
Alex McCarthy,Southampton,104,GK,0,0,7,0,0,35,0,0,1,79,8,45,28.0,2520,1,3,1150,1040,1080,1050,1110,1080,2019-20,0
Leandro Trossard,Brighton,104,MID,5,5,4,0,0,34,0,0,0,0,9,60,20.0,2004,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
Romain Saïss,Wolves,103,DEF,2,2,10,10,1,34,0,0,0,0,8,45,29.0,2703,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Mason Greenwood,Man Utd,103,FWD,10,1,6,0,0,13,0,0,0,0,17,45,12.0,1303,1,4,1220,1300,1260,1330,1180,1260,2019-20,0
Federico Fernández,Newcastle,102,DEF,2,3,8,8,0,42,1,0,0,0,13,45,29.0,2617,1,3,1090,1100,1030,1040,980,990,2019-20,0
Sébastien Haller,West Ham,102,FWD,7,3,5,1,0,41,0,0,0,0,11,75,22.0,2259,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
John Fleck,Sheffield Utd,101,MID,5,2,8,8,0,30,0,0,0,0,13,50,27.0,2515,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
Lucas Rodrigues Moura da Silva,Spurs,100,MID,4,5,6,3,0,29,0,0,0,0,3,75,24.0,2235,1,4,1180,1240,1100,1130,1200,1140,2019-20,0
Leander Dendoncker,Wolves,100,MID,4,0,11,5,0,34,1,0,0,0,9,45,29.0,2790,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Marcos Alonso,Chelsea,100,DEF,4,4,7,4,0,18,0,0,0,0,11,65,16.0,1429,1,4,1220,1230,1240,1240,1220,1250,2019-20,0
Jay Rodriguez,Burnley,100,FWD,8,2,7,1,0,34,0,0,0,0,9,60,18.0,2002,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Joshua King,Bournemouth,99,FWD,6,5,4,0,0,37,0,0,0,0,11,65,23.0,2010,1,2,1020,1020,990,1030,1000,1050,2019-20,0
Hugo Lloris,Spurs,98,GK,0,0,6,0,0,21,0,0,1,80,13,55,20.0,1808,1,4,1180,1240,1100,1130,1200,1140,2019-20,0
Mahmoud Ahmed Ibrahim Hassan,Aston Villa,98,MID,6,2,6,2,1,29,0,0,0,0,7,55,20.0,1936,1,2,1020,1050,970,980,1000,1040,2019-20,1
Oliver Norwood,Sheffield Utd,98,MID,1,3,13,8,0,36,0,0,0,0,6,50,34.0,3089,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
Stuart Armstrong,Southampton,98,MID,5,4,7,4,0,25,0,0,0,0,10,55,18.0,1706,1,3,1150,1040,1080,1050,1110,1080,2019-20,0
Rúben Diogo da Silva Neves,Wolves,97,MID,2,2,13,9,0,35,0,0,0,0,7,55,32.0,3053,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Willy Boly,Wolves,97,DEF,0,1,12,1,1,15,0,0,0,0,10,50,22.0,1980,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Toby Alderweireld,Spurs,97,DEF,2,2,7,7,0,39,1,0,0,0,6,55,33.0,2957,1,4,1180,1240,1100,1130,1200,1140,2019-20,0
Daniel James,Man Utd,95,MID,3,6,7,4,0,29,0,0,0,0,2,60,24.0,2281,1,4,1220,1300,1260,1330,1180,1260,2019-20,0
Gylfi Sigurdsson,Everton,95,MID,2,4,6,3,0,45,0,0,0,0,7,80,27.0,2555,1,3,1100,1240,1100,1210,1170,1180,2019-20,0
David Luiz Moreira Marinho,Arsenal,94,DEF,2,1,8,5,2,42,0,0,0,0,10,60,30.0,2809,1,4,1180,1240,1170,1170,1150,1200,2019-20,0
Emiliano Buendía,Norwich,94,MID,1,7,3,6,1,54,0,0,0,0,12,60,26.0,2458,1,2,980,1020,1030,1040,990,990,2019-20,1
Pablo Fornals,West Ham,93,MID,2,6,6,3,0,35,0,0,0,0,4,65,22.0,2167,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
Anwar El Ghazi,Aston Villa,93,MID,4,5,5,3,0,48,0,0,0,0,0,55,21.0,2046,1,2,1020,1050,970,980,1000,1040,2019-20,1
Joseph Gomez,Liverpool,93,DEF,0,0,12,7,0,16,0,0,0,0,7,55,20.0,1999,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Jorge Luiz Frello Filho,Chelsea,92,MID,4,3,6,10,0,40,0,0,0,0,9,50,27.0,2376,1,4,1220,1230,1240,1240,1220,1250,2019-20,0
James McArthur,Crystal Palace,92,MID,0,4,11,6,0,38,0,0,0,0,2,55,36.0,3091,1,3,1130,1120,1080,1180,1040,1040,2019-20,0
Rodrigo Hernandez,Man City,92,MID,3,2,14,8,0,27,0,0,0,0,5,55,25.0,2480,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Allan Saint-Maximin,Newcastle,92,MID,3,5,8,0,0,22,0,0,0,0,7,55,21.0,1860,1,3,1090,1100,1030,1040,980,990,2019-20,0
Harry Wilson,Bournemouth,91,MID,7,1,2,2,0,32,0,0,0,0,7,60,15.0,1637,1,2,1020,1020,990,1030,1000,1050,2019-20,0
Douglas Luiz Soares de Paulo,Aston Villa,90,MID,3,2,8,8,0,51,0,0,0,0,5,45,27.0,2604,1,2,1020,1050,970,980,1000,1040,2019-20,1
Kepa Arrizabalaga,Chelsea,90,GK,0,0,8,0,0,47,0,0,0,55,0,55,33.0,2970,1,4,1220,1230,1240,1240,1220,1250,2019-20,0
Tyrone Mings,Aston Villa,90,DEF,2,2,6,7,0,53,0,0,0,0,9,45,31.0,2902,1,2,1020,1050,970,980,1000,1040,2019-20,1
Michael Keane,Everton,90,DEF,2,0,7,3,0,42,1,0,0,0,9,55,28.0,2556,1,3,1100,1240,1100,1210,1170,1180,2019-20,0
Gerard Deulofeu,Watford,88,FWD,4,5,8,3,0,33,0,0,0,0,9,65,23.0,2097,1,3,1030,1140,1120,1120,1020,1150,2019-20,0
Adam Webster,Brighton,88,DEF,3,1,5,4,0,44,1,0,0,0,7,45,29.0,2668,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
Robert Snodgrass,West Ham,87,MID,5,5,3,4,0,33,0,0,0,0,8,55,16.0,1504,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
Dan Burn,Brighton,86,DEF,0,0,9,5,0,42,0,0,0,0,3,45,31.0,2879,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
Oliver McBurnie,Sheffield Utd,86,FWD,6,1,9,4,0,25,0,0,0,0,6,60,20.0,2105,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
Jack Stephens,Southampton,85,DEF,1,3,7,4,1,39,0,0,0,0,8,45,27.0,2451,1,3,1150,1040,1080,1050,1110,1080,2019-20,0
Cheikhou Kouyaté,Crystal Palace,85,MID,1,2,10,4,0,36,0,0,0,0,4,50,29.0,2524,1,3,1130,1120,1080,1180,1040,1040,2019-20,0
Wilfred Ndidi,Leicester,85,MID,2,1,12,6,0,32,0,0,0,0,5,50,29.0,2671,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
John McGinn,Aston Villa,84,MID,3,3,6,3,0,41,0,0,0,0,4,55,24.0,2312,1,2,1020,1050,970,980,1000,1040,2019-20,1
Lys Mousset,Sheffield Utd,84,FWD,6,4,3,1,0,15,0,0,0,0,11,50,7.0,1223,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
Charlie Taylor,Burnley,84,DEF,0,1,10,3,0,18,0,0,0,0,5,45,20.0,1944,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Jan Bednarek,Southampton,84,DEF,1,1,7,4,0,57,1,0,0,0,5,45,34.0,3057,1,3,1150,1040,1080,1050,1110,1080,2019-20,0
Diego Rico,Bournemouth,84,DEF,0,5,6,6,0,38,0,0,0,0,10,40,26.0,2333,1,2,1020,1020,990,1030,1000,1050,2019-20,0
Lukasz Fabianski,West Ham,83,GK,0,0,5,1,0,34,0,0,1,72,5,50,23.0,2117,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
Conor Hourihane,Aston Villa,83,MID,3,5,6,4,0,29,0,0,0,0,9,60,14.0,1526,1,2,1020,1050,970,980,1000,1040,2019-20,1
Nicolás Otamendi,Man City,82,DEF,2,1,7,3,0,21,0,0,0,0,6,55,18.0,1710,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Angelo Ogbonna,West Ham,81,DEF,2,0,7,4,0,44,1,0,0,0,0,45,30.0,2786,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
Luka Milivojevic,Crystal Palace,81,MID,3,1,7,12,0,38,0,0,0,0,9,70,28.0,2510,1,3,1130,1120,1080,1180,1040,1040,2019-20,0
Matt Targett,Aston Villa,80,DEF,1,3,5,4,0,40,0,0,0,0,10,45,24.0,2291,1,2,1020,1050,970,980,1000,1040,2019-20,1
Aaron Mooy,Brighton,80,MID,2,2,6,1,1,33,0,0,0,0,9,50,22.0,2079,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
Aaron Cresswell,West Ham,79,DEF,3,0,5,7,0,51,0,0,0,0,5,50,29.0,2727,1,2,1040,1030,1000,1030,1030,1150,2019-20,0
Nathan Aké,Bournemouth,79,DEF,2,2,4,2,0,46,0,0,0,0,6,50,27.0,2503,1,2,1020,1020,990,1030,1000,1050,2019-20,0
Davy Pröpper,Brighton,78,MID,1,2,6,4,0,46,1,0,0,0,2,50,30.0,2826,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
Phil Bardsley,Burnley,78,DEF,0,2,9,6,0,19,0,0,0,0,6,45,21.0,1890,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Etienne Capoue,Watford,78,MID,0,4,8,8,0,48,0,0,0,0,7,50,29.0,2627,1,3,1030,1140,1120,1120,1020,1150,2019-20,0
Joelinton Cássio Apolinário de Lira,Newcastle,78,FWD,2,2,9,7,0,46,0,0,0,0,3,60,30.0,2678,1,3,1090,1100,1030,1040,980,990,2019-20,0
Che Adams,Southampton,78,FWD,4,4,4,0,0,17,0,0,0,0,8,60,12.0,1095,1,3,1150,1040,1080,1050,1110,1080,2019-20,0
Yerry Mina,Everton,78,DEF,2,1,5,3,0,37,1,0,0,0,8,55,24.0,2281,1,3,1100,1240,1100,1210,1170,1180,2019-20,0
Erik Pieters,Burnley,77,DEF,0,5,6,2,0,35,0,0,0,0,10,45,19.0,1876,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Fabio Henrique Tavares,Liverpool,77,MID,2,3,6,6,0,26,0,0,0,0,8,55,21.0,2073,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Kenny McLean,Norwich,77,MID,1,1,5,5,0,63,0,0,0,0,0,50,32.0,2965,1,2,980,1020,1030,1040,990,990,2019-20,1
Craig Cathcart,Watford,77,DEF,0,0,9,7,0,37,0,0,0,0,3,45,27.0,2488,1,3,1030,1140,1120,1120,1020,1150,2019-20,0
Joel Ward,Crystal Palace,77,DEF,0,1,7,4,0,36,0,0,0,0,8,45,26.0,2380,1,3,1130,1120,1080,1180,1040,1040,2019-20,0
Alex Oxlade-Chamberlain,Liverpool,76,MID,4,1,8,1,0,12,1,0,0,0,2,65,11.0,1475,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Pascal Groß,Brighton,76,MID,2,5,3,4,0,32,1,0,0,0,7,65,17.0,1791,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
