name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Kevin De Bruyne,Man City,251,MID,13,23,18,3,0,22,0,0,0,0,35,95,32.0,2790,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Mohamed Salah,Liverpool,233,MID,19,10,16,1,0,26,0,0,0,0,26,125,32.0,2879,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Sadio Mané,Liverpool,221,MID,18,10,12,3,0,28,0,0,0,0,27,115,30.0,2745,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Trent Alexander-Arnold,Liverpool,210,DEF,4,15,14,5,0,32,0,0,0,0,24,70,34.0,3173,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Jamie Vardy,Leicester,210,FWD,23,7,11,3,0,38,0,1,0,0,34,90,33.0,3032,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Pierre-Emerick Aubameyang,Arsenal,205,FWD,22,5,10,3,1,44,0,0,0,0,37,110,34.0,3136,1,4,1180,1240,1170,1170,1150,1200,2019-20,0
Raheem Sterling,Man City,204,MID,20,6,13,5,0,31,0,2,0,0,20,120,29.0,2651,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Anthony Martial,Man Utd,200,MID,17,9,14,1,0,27,0,1,0,0,14,75,31.0,2625,1,4,1220,1300,1260,1330,1180,1260,2019-20,0
Danny Ings,Southampton,198,FWD,22,2,6,3,0,44,0,1,0,0,40,60,31.0,2800,1,3,1150,1040,1080,1050,1110,1080,2019-20,0
Raúl Jiménez,Wolves,194,FWD,17,7,15,3,0,36,0,0,0,0,33,75,37.0,3241,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Andrew Robertson,Liverpool,181,DEF,2,12,13,2,0,31,0,0,0,0,20,70,33.0,3111,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Virgil van Dijk,Liverpool,178,DEF,5,2,15,1,0,33,0,0,0,0,14,65,37.0,3420,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Marcus Rashford,Man Utd,177,FWD,17,8,9,3,0,29,0,2,0,0,31,85,29.0,2645,1,4,1220,1300,1260,1330,1180,1260,2019-20,0
Riyad Mahrez,Man City,175,MID,11,14,10,0,0,15,0,0,0,0,17,85,17.0,1934,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Nick Pope,Burnley,170,GK,0,0,15,1,0,50,0,0,1,120,23,45,38.0,3420,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Heung-Min Son,Spurs,169,MID,11,13,7,0,2,32,0,1,0,0,18,95,28.0,2478,1,4,1180,1240,1100,1130,1200,1140,2019-20,0
Willian Borges Da Silva,Chelsea,168,MID,9,9,10,4,0,35,0,0,0,0,26,70,28.0,2595,1,4,1220,1230,1240,1240,1220,1250,2019-20,0
Matt Doherty,Wolves,167,DEF,4,8,12,1,0,31,0,0,0,0,15,60,29.0,2836,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Richarlison de Andrade,Everton,165,MID,13,5,9,8,0,51,0,0,0,0,13,80,35.0,3070,1,3,1100,1240,1100,1210,1170,1180,2019-20,0
Dean Henderson,Sheffield Utd,160,GK,0,1,13,2,0,33,0,0,1,97,16,45,35.0,3240,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
Harry Kane,Spurs,158,FWD,18,2,6,4,0,36,0,0,0,0,26,110,29.0,2588,1,4,1180,1240,1100,1130,1200,1140,2019-20,0
Kasper Schmeichel,Leicester,156,GK,0,0,13,2,0,41,0,0,2,97,10,50,38.0,3420,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Roberto Firmino,Liverpool,155,FWD,9,9,16,0,0,26,0,0,0,0,20,95,32.0,2985,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Tammy Abraham,Chelsea,153,FWD,15,6,7,2,0,34,1,0,0,0,20,70,25.0,2206,1,4,1220,1230,1240,1240,1220,1250,2019-20,0
Rui Pedro dos Santos Patrício,Wolves,153,GK,0,0,13,0,0,40,0,0,2,90,8,50,38.0,3420,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Jack Grealish,Aston Villa,149,MID,8,7,7,8,0,63,0,1,0,0,19,60,35.0,3233,1,2,1020,1050,970,980,1000,1040,2019-20,1
Gabriel Fernando de Jesus,Man City,146,FWD,14,8,12,3,0,14,0,1,0,0,17,95,19.0,2018,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
John Lundstram,Sheffield Utd,144,DEF,5,4,10,5,0,29,0,0,0,0,15,40,26.0,2452,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
James Tarkowski,Burnley,143,DEF,2,3,15,10,0,50,0,0,0,0,14,50,38.0,3420,1,3,1110,1180,1130,1070,970,1110,2019-20,0
David de Gea,Man Utd,143,GK,0,0,13,2,0,36,0,0,0,95,8,55,38.0,3420,1,4,1220,1300,1260,1330,1180,1260,2019-20,0
Martin Dubravka,Newcastle,143,GK,0,0,11,0,0,58,0,0,0,139,7,50,38.0,3420,1,3,1090,1100,1030,1040,980,990,2019-20,0
Enda Stevens,Sheffield Utd,142,DEF,2,4,13,7,0,39,0,0,0,0,8,50,35.0,3345,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
George Baldock,Sheffield Utd,142,DEF,2,4,13,7,0,39,0,0,0,0,7,45,37.0,3420,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
David Silva,Man City,139,MID,6,12,11,0,0,15,0,0,0,0,15,75,19.0,1821,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Teemu Pukki,Norwich,139,FWD,11,3,6,3,0,59,0,0,0,0,21,65,32.0,2884,1,2,980,1020,1030,1040,990,990,2019-20,1
Mason Mount,Chelsea,137,MID,7,6,9,3,0,44,0,0,0,0,11,60,30.0,2865,1,4,1220,1230,1240,1240,1220,1250,2019-20,0
Ben Foster,Watford,137,GK,0,0,9,1,0,64,0,0,1,117,17,50,38.0,3420,1,3,1030,1140,1120,1120,1020,1150,2019-20,0
Vicente Guaita,Crystal Palace,137,GK,0,0,10,1,0,42,1,0,0,111,16,50,35.0,3150,1,3,1130,1120,1080,1180,1040,1040,2019-20,0
Chris Wood,Burnley,136,FWD,14,1,11,1,0,33,1,0,0,0,21,65,26.0,2436,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Mathew Ryan,Brighton,135,GK,0,0,9,0,0,54,0,0,0,117,14,45,38.0,3420,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
John Egan,Sheffield Utd,133,DEF,2,1,13,3,1,33,0,0,0,0,9,45,35.0,3187,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
Harvey Barnes,Leicester,133,MID,6,10,9,0,0,24,0,0,0,0,9,60,19.0,2075,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Ederson Santana de Moraes,Man City,133,GK,0,0,16,3,1,31,0,0,0,68,2,60,33.0,3071,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Jordan Ayew,Crystal Palace,132,FWD,9,3,12,6,0,45,0,0,0,0,19,50,37.0,3148,1,3,1130,1120,1080,1180,1040,1040,2019-20,0
Sergio Agüero,Man City,132,FWD,16,6,5,1,0,18,0,1,0,0,14,120,15.0,1449,1,5,1330,1340,1260,1270,1320,1320,2019-20,0
Neal Maupay,Brighton,131,FWD,10,3,8,3,0,36,0,1,0,0,21,60,29.0,2763,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
Adama Traoré,Wolves,130,MID,4,9,7,1,0,33,0,0,0,0,14,50,26.0,2599,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
César Azpilicueta,Chelsea,130,DEF,2,6,8,1,0,53,0,0,0,0,16,60,36.0,3229,1,4,1220,1230,1240,1240,1220,1250,2019-20,0
Ayoze Pérez,Leicester,129,MID,8,5,9,0,0,25,0,0,0,0,9,65,23.0,1998,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Lewis Dunk,Brighton,128,DEF,3,3,9,9,0,50,0,0,0,0,17,45,36.0,3230,1,2,1050,1010,1100,1100,1040,1030,2019-20,0
Jonny Evans,Leicester,128,DEF,1,2,13,7,1,41,1,0,0,0,12,50,38.0,3384,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Christian Pulisic,Chelsea,127,MID,9,8,6,0,0,28,0,0,0,0,8,75,19.0,1717,1,4,1220,1230,1240,1240,1220,1250,2019-20,0
Aaron Wan-Bissaka,Man Utd,127,DEF,0,4,12,8,0,33,0,0,0,0,16,55,34.0,3070,1,4,1220,1300,1260,1330,1180,1260,2019-20,0
Dominic Calvert-Lewin,Everton,126,FWD,13,1,8,9,0,43,0,0,0,0,15,60,29.0,2621,1,3,1100,1240,1100,1210,1170,1180,2019-20,0
Aaron Ramsdale,Bournemouth,126,GK,0,1,5,0,0,62,0,0,1,128,13,45,37.0,3330,1,2,1020,1020,990,1030,1000,1050,2019-20,0
James Maddison,Leicester,125,MID,6,5,10,4,0,26,0,0,0,0,14,70,29.0,2624,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Serge Aurier,Spurs,124,DEF,1,7,9,2,1,33,1,0,0,0,15,50,30.0,2699,1,4,1180,1240,1100,1130,1200,1140,2019-20,0
Ricardo Domingos Barbosa Pereira,Leicester,123,DEF,3,2,10,1,0,27,0,0,0,0,11,60,28.0,2520,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Jonathan Castro Otto,Wolves,123,DEF,2,3,11,4,0,35,0,0,0,0,6,55,31.0,2885,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Harry Maguire,Man Utd,123,DEF,1,0,13,6,0,36,0,0,0,0,5,55,38.0,3420,1,4,1220,1300,1260,1330,1180,1260,2019-20,0
Dwight McNeil,Burnley,123,MID,2,7,16,5,0,48,0,0,0,0,6,60,37.0,3339,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Chris Basham,Sheffield Utd,123,DEF,0,1,13,4,0,37,0,0,0,0,6,45,36.0,3242,1,3,1180,1200,1170,1180,1050,1110,2019-20,1
Alisson Ramses Becker,Liverpool,122,GK,0,1,13,0,1,24,0,0,0,58,11,60,27.0,2543,1,5,1340,1350,1310,1320,1310,1330,2019-20,0
Çaglar Söyüncü,Leicester,120,DEF,1,1,12,4,1,35,0,0,0,0,12,45,34.0,3036,1,3,1210,1160,1150,1080,1210,1100,2019-20,0
Wilfried Zaha,Crystal Palace,120,MID,4,6,9,5,0,46,0,0,0,0,4,70,36.0,3279,1,3,1130,1120,1080,1180,1040,1040,2019-20,0
Lucas Digne,Everton,120,DEF,0,8,9,6,0,49,1,0,0,0,16,60,34.0,3031,1,3,1100,1240,1100,1210,1170,1180,2019-20,0
Ashley Westwood,Burnley,118,MID,2,7,15,9,0,39,0,0,0,0,11,55,35.0,3150,1,3,1110,1180,1130,1070,970,1110,2019-20,0
Alexandre Lacazette,Arsenal,118,FWD,10,7,5,8,0,25,0,0,0,0,16,95,19.0,1867,1,4,1180,1240,1170,1170,1150,1200,2019-20,0
Conor Coady,Wolves,118,DEF,0,0,13,5,0,40,0,0,0,0,7,50,38.0,3420,1,4,1230,1190,1180,1230,1200,1200,2019-20,0
Bruno Miguel Borges Fernandes,Man Utd,117,MID,8,8,9,2,0,6,0,0,0,0,18,80,14.0,1187,25,4,1220,1300,1260,1330,1180,1260,2019-20,0
