name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Kieran Tierney,Arsenal,106,DEF,1,3,11,0,0,21,0,0,0,0,11,50,4,1250,1270,1150,1210,1190,1220,2021-22
Jorge Luiz Frello Filho,Chelsea,106,MID,6,2,12,5,0,16,0,1,0,0,11,60,4,1290,1320,1300,1300,1250,1290,2021-22
Max Kilman,Wolves,106,DEF,1,1,10,3,0,25,0,0,0,0,5,45,3,1200,1170,1150,1160,1080,1100,2021-22
Danny Ings,Aston Villa,106,FWD,7,6,10,4,0,26,0,0,0,0,12,80,3,1100,1100,1140,1110,1090,1090,2021-22
Illan Meslier,Leeds,106,GK,0,0,5,2,0,79,0,0,0,143,8,50,3,1070,1080,1080,1070,1100,1100,2021-22
Demarai Gray,Everton,106,MID,5,5,6,3,0,39,0,0,0,0,3,55,2,1050,1090,1130,1090,1110,1110,2021-22
Ben Davies,Liverpool,105,DEF,1,2,12,6,0,30,0,0,0,0,3,40,5,1340,1360,1300,1350,1340,1350,2021-22
Ben Davies,Spurs,105,DEF,1,2,12,6,0,30,0,0,0,0,3,40,4,1210,1270,1190,1200,1210,1210,2021-22
Sergio Reguilón,Spurs,104,DEF,2,4,9,4,0,25,0,0,0,0,9,50,4,1210,1270,1190,1200,1210,1210,2021-22
Che Adams,Southampton,103,FWD,7,4,5,0,0,40,0,0,0,0,11,70,3,1080,1110,1090,1140,1120,1090,2021-22
Michael Keane,Everton,102,DEF,3,2,8,2,1,54,2,0,0,0,11,50,2,1050,1090,1130,1090,1110,1110,2021-22
Christian Nørgaard,Brentford,101,MID,3,4,8,8,0,51,0,0,0,0,5,50,2,1060,1070,1120,1150,1080,1120,2021-22
Matt Targett,Newcastle,101,DEF,1,2,9,3,0,47,1,0,0,0,7,50,3,1090,1170,1050,1030,1040,1070,2021-22
Raúl Jiménez,Wolves,101,FWD,6,5,11,5,2,32,0,0,0,0,11,75,3,1200,1170,1150,1160,1080,1100,2021-22
Anthony Gordon,Everton,100,MID,4,3,7,4,0,40,0,0,0,0,9,45,2,1050,1090,1130,1090,1110,1110,2021-22
Trevoh Chalobah,Chelsea,99,DEF,3,1,9,2,0,9,0,0,0,0,11,50,4,1290,1320,1300,1300,1250,1290,2021-22
Neal Maupay,Brighton,98,FWD,8,3,7,7,0,31,0,1,0,0,11,65,3,1100,1090,1160,1160,1100,1120,2021-22
Fabio Henrique Tavares,Liverpool,97,MID,5,1,15,7,0,18,0,0,0,0,7,55,5,1340,1360,1300,1350,1340,1350,2021-22
João Filipe Iria Santos Moutinho,Wolves,96,MID,2,1,11,4,0,40,0,0,0,0,8,50,3,1200,1170,1150,1160,1080,1100,2021-22
Martin Dubravka,Newcastle,96,GK,0,0,8,1,0,35,0,0,0,73,9,45,3,1090,1170,1050,1030,1040,1070,2021-22
David Raya Martin,Brentford,95,GK,0,0,8,1,0,27,0,0,0,78,5,45,2,1060,1070,1120,1150,1080,1120,2021-22
Declan Rice,West Ham,95,MID,1,4,8,8,0,49,0,0,0,0,7,50,3,1130,1190,1110,1150,1160,1180,2021-22
Rúben Diogo da Silva Neves,Wolves,95,MID,4,2,9,9,0,34,0,0,0,0,7,55,3,1200,1170,1150,1160,1080,1100,2021-22
Joël Veltman,Brighton,95,DEF,1,1,8,6,0,39,0,0,0,0,5,45,3,1100,1090,1160,1160,1100,1120,2021-22
Jan Bednarek,Southampton,94,DEF,4,0,7,10,0,52,1,0,0,0,15,45,3,1080,1110,1090,1140,1120,1090,2021-22
Nélson Cabral Semedo,Wolves,94,DEF,0,1,9,1,0,18,0,0,0,0,9,50,3,1200,1170,1150,1160,1080,1100,2021-22
Frederico Rodrigues de Paula Santos,Man Utd,93,MID,4,5,7,5,0,31,1,0,0,0,8,50,4,1210,1270,1170,1190,1190,1200,2021-22
Davinson Sánchez,Spurs,93,DEF,2,1,10,4,0,16,0,0,0,0,8,45,4,1210,1270,1190,1200,1210,1210,2021-22
Alexis Mac Allister,Brighton,93,MID,5,2,6,4,0,29,0,1,0,0,8,55,3,1100,1090,1160,1160,1100,1120,2021-22
Armando Broja,Southampton,92,FWD,6,2,5,2,0,37,0,0,0,0,11,50,3,1080,1110,1090,1140,1120,1090,2021-22
Yoane Wissa,Brentford,92,MID,7,2,3,0,0,22,0,0,0,0,6,60,2,1060,1070,1120,1150,1080,1120,2021-22
Josh Brownhill,Burnley,92,MID,2,3,7,10,0,45,0,0,0,0,8,45,2,1060,1060,1080,1130,1060,1100,2021-22
Lewis Dunk,Brighton,92,DEF,1,0,10,3,1,33,0,0,0,0,7,50,3,1100,1090,1160,1160,1100,1120,2021-22
Dan Burn,Newcastle,92,DEF,1,1,9,8,0,30,0,0,0,0,6,45,3,1090,1170,1050,1030,1040,1070,2021-22
Manuel Lanzini,West Ham,92,MID,5,3,4,2,0,29,0,0,0,0,8,60,3,1130,1190,1110,1150,1160,1180,2021-22
Jadon Sancho,Man Utd,91,MID,3,4,6,0,0,28,0,0,0,0,9,95,4,1210,1270,1170,1190,1190,1200,2021-22
Daniel James,Leeds,91,MID,4,5,5,7,1,51,0,0,0,0,2,60,3,1070,1080,1080,1070,1100,1100,2021-22
Chris Wood,Newcastle,91,FWD,5,0,6,1,0,41,0,0,0,0,8,70,3,1090,1170,1050,1030,1040,1070,2021-22
Craig Dawson,West Ham,90,DEF,2,3,6,4,1,43,0,0,0,0,1,50,3,1130,1190,1110,1150,1160,1180,2021-22
Abdoulaye Doucouré,Everton,90,MID,2,5,5,6,0,47,0,0,0,0,8,55,2,1050,1090,1130,1090,1110,1110,2021-22
Ethan Pinnock,Brentford,90,DEF,1,1,7,1,0,43,0,0,0,0,7,45,2,1060,1070,1120,1150,1080,1120,2021-22
Alexandre Lacazette,Arsenal,90,FWD,4,8,10,0,0,17,0,1,0,0,3,85,4,1250,1270,1150,1210,1190,1220,2021-22
Vitaly Janelt,Brentford,90,MID,4,0,9,3,0,37,0,0,0,0,8,50,2,1060,1070,1120,1150,1080,1120,2021-22
Mohamed Elyounoussi,Southampton,90,MID,4,3,8,4,0,35,0,0,0,0,6,55,3,1080,1110,1090,1140,1120,1090,2021-22
Tim Krul,Norwich,90,GK,0,0,5,1,0,62,1,0,0,106,11,45,2,1030,1040,1040,1040,1040,1030,2021-22
Douglas Luiz Soares de Paulo,Aston Villa,89,MID,2,3,10,7,0,38,0,0,0,0,3,45,3,1100,1100,1140,1110,1090,1090,2021-22
Danny Welbeck,Brighton,89,FWD,6,4,5,0,0,16,0,0,0,0,13,60,3,1100,1090,1160,1160,1100,1120,2021-22
Fabian Schär,Newcastle,88,DEF,2,2,6,4,0,32,0,0,0,0,10,45,3,1090,1170,1050,1030,1040,1070,2021-22
Oriol Romeu Vidal,Southampton,88,MID,2,2,7,9,0,52,0,0,0,0,6,45,3,1080,1110,1090,1140,1120,1090,2021-22
Pascal Groß,Brighton,88,MID,2,5,8,1,0,24,0,1,0,0,7,60,3,1100,1090,1160,1160,1100,1120,2021-22
Rayan Ait Nouri,Wolves,87,DEF,1,4,7,4,0,26,0,0,0,0,10,45,3,1200,1170,1150,1160,1080,1100,2021-22
Lucas Rodrigues Moura da Silva,Spurs,87,MID,2,6,8,4,0,21,0,0,0,0,4,65,4,1210,1270,1190,1200,1210,1210,2021-22
Joshua King,Watford,87,FWD,5,4,3,5,0,47,0,0,0,0,5,55,2,1060,1030,1090,1040,1120,1070,2021-22
Romelu Lukaku,Chelsea,87,FWD,8,1,7,1,0,14,0,0,0,0,12,115,4,1290,1320,1300,1300,1250,1290,2021-22
César Azpilicueta,Chelsea,87,DEF,1,3,7,3,0,23,0,0,0,0,2,60,4,1290,1320,1300,1300,1250,1290,2021-22
Jack Grealish,Man City,86,MID,3,3,15,3,0,8,0,0,0,0,2,80,5,1350,1370,1340,1360,1340,1360,2021-22
Jeffrey Schlupp,Crystal Palace,86,MID,4,2,8,1,0,19,0,0,0,0,2,55,3,1090,1100,1110,1160,1080,1160,2021-22
Kyle Walker,Man City,85,DEF,0,2,10,1,0,14,0,0,0,0,5,55,5,1350,1370,1340,1360,1340,1360,2021-22
Rodrigo Moreno,Leeds,85,FWD,6,2,5,9,0,37,0,0,0,0,11,65,3,1070,1080,1080,1070,1100,1100,2021-22
Moussa Sissoko,Watford,85,MID,2,1,4,5,0,73,0,0,0,0,1,45,2,1060,1030,1090,1040,1120,1070,2021-22
Dwight McNeil,Burnley,84,MID,0,1,9,1,0,49,0,0,0,0,1,60,2,1060,1060,1080,1130,1060,1100,2021-22
James Tarkowski,Burnley,83,DEF,1,2,7,11,0,51,1,0,0,0,5,50,2,1060,1060,1080,1130,1060,1100,2021-22
Lucas Digne,Aston Villa,83,DEF,0,4,7,6,0,42,1,0,0,0,8,55,3,1100,1100,1140,1110,1090,1090,2021-22
Joelinton Cássio Apolinário de Lira,Newcastle,83,FWD,4,2,7,8,0,46,0,0,0,0,7,60,3,1090,1170,1050,1030,1040,1070,2021-22
Kyle Walker-Peters,Southampton,82,DEF,1,3,6,5,0,49,0,0,0,0,7,50,3,1080,1110,1090,1140,1120,1090,2021-22
Kristoffer Ajer,Brentford,81,DEF,1,3,8,5,0,32,0,0,0,0,5,45,2,1060,1070,1120,1150,1080,1120,2021-22
Sergi Canós,Brentford,81,MID,3,3,8,6,1,36,1,0,0,0,5,55,2,1060,1070,1120,1150,1080,1120,2021-22
Ismaila Sarr,Watford,81,MID,5,2,2,2,0,40,0,1,0,0,9,60,2,1060,1030,1090,1040,1120,1070,2021-22
Ben Foster,Watford,81,GK,0,1,4,0,0,49,0,0,1,70,9,40,2,1060,1030,1090,1040,1120,1070,2021-22
Stuart Dallas,Leeds,80,MID,1,1,5,5,0,66,0,0,0,0,6,55,3,1070,1080,1080,1070,1100,1100,2021-22
Kelechi Iheanacho,Leicester,80,FWD,4,6,1,1,0,25,0,0,0,0,10,75,3,1090,1200,1100,1080,1150,1160,2021-22
Tino Livramento,Southampton,80,DEF,1,2,7,2,0,42,0,0,0,0,7,40,3,1080,1110,1090,1140,1120,1090,2021-22
Seamus Coleman,Everton,79,DEF,1,1,7,4,0,50,1,0,0,0,6,50,2,1050,1090,1130,1090,1110,1110,2021-22
Joseph Willock,Newcastle,79,MID,2,3,6,0,0,37,0,0,0,0,3,60,3,1090,1170,1050,1030,1040,1070,2021-22
N'Golo Kanté,Chelsea,79,MID,2,5,9,2,0,19,0,0,0,0,2,50,4,1290,1320,1300,1300,1250,1290,2021-22
Nathan Redmond,Southampton,79,MID,1,6,4,0,0,33,0,0,0,0,6,60,3,1080,1110,1090,1140,1120,1090,2021-22
Hakim Ziyech,Chelsea,79,MID,4,3,7,3,0,12,0,0,0,0,9,75,4,1290,1320,1300,1300,1250,1290,2021-22
Alex Iwobi,Everton,78,MID,2,2,6,1,0,38,0,0,0,0,6,60,2,1050,1090,1130,1090,1110,1110,2021-22
Charlie Taylor,Burnley,78,DEF,0,3,5,3,0,48,0,0,0,0,8,45,2,1060,1060,1080,1130,1060,1100,2021-22
Ryan Fraser,Newcastle,78,MID,2,5,5,3,0,23,0,0,0,0,8,55,3,1090,1170,1050,1030,1040,1070,2021-22
Ezri Konsa Ngoyo,Aston Villa,78,DEF,2,0,8,4,2,43,0,0,0,0,4,50,3,1100,1100,1140,1110,1090,1090,2021-22
Christian Pulisic,Chelsea,77,MID,6,2,6,2,0,10,0,0,0,0,2,80,4,1290,1320,1300,1300,1250,1290,2021-22
Jordan Ayew,Crystal Palace,77,FWD,3,4,9,2,0,31,0,0,0,0,3,60,3,1090,1100,1110,1160,1080,1160,2021-22
Diego Llorente,Leeds,77,DEF,3,0,5,7,0,44,0,0,0,0,6,45,3,1070,1080,1080,1070,1100,1100,2021-22
Cheikhou Kouyaté,Crystal Palace,77,DEF,0,1,8,3,0,28,0,0,0,0,5,45,3,1090,1100,1110,1160,1080,1160,2021-22
Mateo Kovacic,Chelsea,76,MID,2,5,8,4,0,11,0,0,0,0,7,50,4,1290,1320,1300,1300,1250,1290,2021-22
Leander Dendoncker,Wolves,76,MID,2,3,5,4,0,29,0,0,0,0,5,50,3,1200,1170,1150,1160,1080,1100,2021-22
Callum Wilson,Newcastle,75,FWD,8,0,3,4,0,32,0,0,0,0,14,75,3,1090,1170,1050,1030,1040,1070,2021-22
Timothy Castagne,Leicester,75,DEF,1,0,6,1,0,30,0,0,0,0,6,55,3,1090,1200,1100,1080,1150,1160,2021-22
Tariq Lamptey,Brighton,74,DEF,0,2,6,4,0,21,0,0,0,0,7,45,3,1100,1090,1160,1160,1100,1120,2021-22
Ben Mee,Burnley,74,DEF,3,0,6,3,0,25,1,0,0,0,3,50,2,1060,1060,1080,1130,1060,1100,2021-22
Michael Olise,Crystal Palace,73,MID,2,6,4,4,0,14,0,0,0,0,8,55,3,1090,1100,1110,1160,1080,1160,2021-22
Joel Ward,Crystal Palace,73,DEF,0,0,9,8,0,37,0,0,0,0,2,45,3,1090,1100,1110,1160,1080,1160,2021-22
Mason Greenwood,Man Utd,71,MID,5,2,3,1,0,18,0,0,0,0,7,75,4,1210,1270,1170,1190,1190,1200,2021-22
Grant Hanley,Norwich,71,DEF,1,0,6,2,0,70,0,0,0,0,4,45,2,1030,1040,1040,1040,1040,1030,2021-22
Thomas Partey,Arsenal,71,MID,2,2,10,6,0,25,0,0,0,0,4,50,4,1250,1270,1150,1210,1190,1220,2021-22
Patson Daka,Leicester,70,FWD,5,3,3,2,0,20,0,0,0,0,8,75,3,1090,1200,1100,1080,1150,1160,2021-22
Vladimir Coufal,West Ham,70,DEF,0,4,6,3,1,36,1,0,0,0,3,50,3,1130,1190,1110,1150,1160,1180,2021-22
Pierre Lees-Melou,Norwich,70,MID,1,2,5,5,0,55,0,0,0,0,1,50,2,1030,1040,1040,1040,1040,1030,2021-22
Kiernan Dewsbury-Hall,Leicester,70,MID,1,2,8,4,0,27,0,0,0,0,4,45,3,1090,1200,1100,1080,1150,1160,2021-22
John Stones,Man City,70,DEF,1,0,9,0,0,6,0,0,0,0,4,55,5,1350,1370,1340,1360,1340,1360,2021-22
Milot Rashica,Norwich,70,MID,1,2,4,0,0,56,0,0,0,0,0,55,2,1030,1040,1040,1040,1040,1030,2021-22
Daniel Castelo Podence,Wolves,70,MID,2,3,9,2,0,12,0,0,0,0,2,55,3,1200,1170,1150,1160,1080,1100,2021-22
Andreas Christensen,Chelsea,69,DEF,0,0,9,2,0,11,0,0,0,0,3,50,4,1290,1320,1300,1300,1250,1290,2021-22
Thiago Alcántara do Nascimento,Liverpool,69,MID,1,4,11,2,0,7,0,0,0,0,3,55,5,1340,1360,1300,1350,1340,1350,2021-22
Kenny McLean,Norwich,69,MID,1,0,6,3,0,62,0,0,0,0,0,50,2,1030,1040,1040,1040,1040,1030,2021-22
Harry Maguire,Man Utd,69,DEF,1,0,7,7,1,43,1,0,0,0,4,55,4,1210,1270,1170,1190,1190,1200,2021-22
Scott McTominay,Man Utd,68,MID,1,2,8,9,0,37,0,0,0,0,2,55,4,1210,1270,1170,1190,1190,1200,2021-22
Matt Doherty,Spurs,67,DEF,2,5,3,0,0,11,0,0,0,0,8,50,4,1210,1270,1190,1200,1210,1210,2021-22
Alex Nicolao Telles,Man Utd,67,DEF,0,4,5,1,0,26,0,0,0,0,6,50,4,1210,1270,1170,1190,1190,1200,2021-22
Fernando Marçal,Wolves,67,DEF,0,3,6,3,0,14,0,0,0,0,5,45,3,1200,1170,1150,1160,1080,1100,2021-22
Kurt Zouma,West Ham,66,DEF,1,0,5,1,0,29,1,0,0,0,5,55,3,1130,1190,1110,1150,1160,1180,2021-22
Victor Lindelöf,Man Utd,66,DEF,0,2,6,4,0,47,0,0,0,0,4,50,4,1210,1270,1170,1190,1190,1200,2021-22
Yves Bissouma,Brighton,66,MID,1,2,7,10,0,28,0,0,0,0,9,45,3,1100,1090,1160,1160,1100,1120,2021-22
Çaglar Söyüncü,Leicester,66,DEF,1,0,5,5,0,44,0,0,0,0,6,50,3,1090,1200,1100,1080,1150,1160,2021-22
Francisco Machado Mota de Castro Trincão,Wolves,66,MID,2,1,7,0,0,15,0,0,0,0,2,60,3,1200,1170,1150,1160,1080,1100,2021-22
Andros Townsend,Everton,66,MID,3,2,3,3,0,30,0,0,0,0,8,55,2,1050,1090,1130,1090,1110,1110,2021-22
Matthew Lowton,Burnley,65,DEF,1,3,4,3,1,30,0,0,0,0,5,45,2,1060,1060,1080,1130,1060,1100,2021-22
Paul Pogba,Man Utd,65,MID,1,9,2,7,1,22,0,0,0,0,6,75,4,1210,1270,1170,1190,1190,1200,2021-22
Naby Keita,Liverpool,65,MID,3,2,8,3,0,6,0,0,0,0,4,50,5,1340,1360,1300,1350,1340,1350,2021-22
Dominic Calvert-Lewin,Everton,64,FWD,5,2,3,2,0,31,0,1,0,0,10,80,2,1050,1090,1130,1090,1110,1110,2021-22
Jonjo Shelvey,Newcastle,63,MID,2,1,6,5,1,30,0,0,0,0,6,55,3,1090,1170,1050,1030,1040,1070,2021-22
Marcus Rashford,Man Utd,63,MID,4,2,2,2,0,28,0,0,0,0,0,95,4,1210,1270,1170,1190,1190,1200,2021-22
Cristian Romero,Spurs,63,DEF,1,0,5,8,0,25,0,0,0,0,10,50,4,1210,1270,1190,1200,1210,1210,2021-22
Ashley Westwood,Burnley,63,MID,0,4,4,7,0,40,0,0,0,0,2,55,2,1060,1060,1080,1130,1060,1100,2021-22
Juan Camilo Hernández Suárez,Watford,62,FWD,5,2,1,3,0,34,1,0,0,0,8,50,2,1060,1030,1090,1040,1120,1070,2021-22
Mason Holgate,Everton,62,DEF,2,2,5,7,1,42,1,0,0,0,2,45,2,1050,1090,1130,1090,1110,1110,2021-22
Roberto Firmino,Liverpool,62,FWD,5,4,5,3,0,9,0,0,0,0,5,90,5,1340,1360,1300,1350,1340,1350,2021-22
Jacob Murphy,Newcastle,62,MID,1,4,2,4,0,35,0,0,0,0,0,50,3,1090,1170,1050,1030,1040,1070,2021-22
Timo Werner,Chelsea,62,FWD,4,2,5,1,0,17,0,0,0,0,5,90,4,1290,1320,1300,1300,1250,1290,2021-22
Jean-Philippe Mateta,Crystal Palace,61,FWD,5,1,5,2,0,14,0,0,0,0,6,55,3,1090,1100,1110,1160,1080,1160,2021-22
Mateusz Klich,Leeds,61,MID,1,2,1,5,0,52,0,0,0,0,4,55,3,1070,1080,1080,1070,1100,1100,2021-22
Solomon March,Brighton,61,MID,0,2,7,1,0,23,0,0,0,0,0,55,3,1100,1090,1160,1160,1100,1120,2021-22
Joshua Sargent,Norwich,60,FWD,2,2,4,1,0,33,0,0,0,0,3,55,2,1030,1040,1040,1040,1040,1030,2021-22
Jay Rodriguez,Burnley,60,FWD,2,3,6,3,0,15,0,0,0,0,4,55,2,1060,1060,1080,1130,1060,1100,2021-22
Granit Xhaka,Arsenal,60,MID,1,2,6,10,1,38,0,0,0,0,3,50,4,1250,1270,1150,1210,1190,1220,2021-22
João Pedro Junqueira de Jesus,Watford,60,FWD,3,1,2,1,0,35,0,0,0,0,4,55,2,1060,1030,1090,1040,1120,1070,2021-22
Liam Cooper,Leeds,60,DEF,0,2,5,5,0,26,0,0,0,0,5,45,3,1070,1080,1080,1070,1100,1100,2021-22
Nathaniel Clyne,Crystal Palace,59,DEF,0,1,6,1,0,12,0,0,0,0,4,45,3,1090,1100,1110,1160,1080,1160,2021-22
Miguel Almirón,Newcastle,59,MID,1,0,6,2,0,32,0,0,0,0,0,55,3,1090,1170,1050,1030,1040,1070,2021-22
Adam Webster,Brighton,59,DEF,2,0,4,5,0,20,0,0,0,0,6,45,3,1100,1090,1160,1160,1100,1120,2021-22
Anthony Elanga,Man Utd,59,MID,2,3,4,0,0,17,0,0,0,0,2,50,4,1210,1270,1170,1190,1190,1200,2021-22
Oleksandr Zinchenko,Man City,59,DEF,0,4,5,0,0,9,0,0,0,0,4,55,5,1350,1370,1340,1360,1340,1360,2021-22
Emil Krafth,Newcastle,58,DEF,0,1,6,5,0,20,0,0,0,0,3,45,3,1090,1170,1050,1030,1040,1070,2021-22
Mohammed Salisu,Southampton,58,DEF,0,0,6,8,1,58,1,0,0,0,4,45,3,1080,1110,1090,1140,1120,1090,2021-22
Allan Marques Loureiro,Everton,58,MID,0,3,6,7,1,38,0,0,0,0,2,45,2,1050,1090,1130,1090,1110,1110,2021-22
Enock Mwepu,Brighton,58,MID,2,5,3,2,0,13,0,0,0,0,5,60,3,1100,1090,1160,1160,1100,1120,2021-22
Christian Benteke,Crystal Palace,58,FWD,4,1,4,3,0,20,0,0,0,0,6,65,3,1090,1100,1110,1160,1080,1160,2021-22
Jakub Moder,Brighton,58,MID,0,3,5,1,0,23,0,0,0,0,0,45,3,1100,1090,1160,1160,1100,1120,2021-22
Fraser Forster,Southampton,57,GK,0,0,3,1,0,35,0,0,0,68,6,45,3,1080,1110,1090,1140,1120,1090,2021-22
Stuart Armstrong,Southampton,57,MID,2,1,3,1,0,30,0,0,0,0,3,60,3,1080,1110,1090,1140,1120,1090,2021-22
Adam Armstrong,Southampton,57,FWD,2,3,4,1,0,31,0,0,0,0,3,60,3,1080,1110,1090,1140,1120,1090,2021-22
Ryan Sessegnon,Spurs,56,DEF,0,3,6,2,0,11,0,0,0,0,3,45,4,1210,1270,1190,1200,1210,1210,2021-22
Edward Nketiah,Arsenal,55,FWD,5,1,0,3,0,18,0,0,0,0,6,55,4,1250,1270,1150,1210,1190,1220,2021-22
Steven Bergwijn,Spurs,55,MID,3,2,3,1,0,6,0,0,0,0,3,60,4,1210,1270,1190,1200,1210,1210,2021-22
Luke Ayling,Leeds,55,DEF,2,3,2,4,1,66,0,0,0,0,8,45,3,1070,1080,1080,1070,1100,1100,2021-22
Benjamin Chilwell,Chelsea,55,DEF,3,1,4,0,0,2,0,0,0,0,5,60,4,1290,1320,1300,1300,1250,1290,2021-22
Max Aarons,Norwich,55,DEF,0,2,4,8,0,69,1,0,0,0,2,45,2,1030,1040,1040,1040,1040,1030,2021-22
Nathan Collins,Burnley,55,DEF,2,0,5,2,1,26,0,0,0,0,1,45,2,1060,1060,1080,1130,1060,1100,2021-22
Alex McCarthy,Southampton,55,GK,0,0,5,1,0,27,0,0,0,44,3,45,3,1080,1110,1090,1140,1120,1090,2021-22
Daniel Amartey,Leicester,55,DEF,0,0,5,4,0,40,0,0,0,0,4,40,3,1090,1200,1100,1080,1150,1160,2021-22
Mathias Jensen,Brentford,54,MID,0,1,3,0,0,30,0,0,0,0,2,50,2,1060,1070,1120,1150,1080,1120,2021-22
Nathan Aké,Man City,54,DEF,2,0,5,0,0,3,0,0,0,0,0,50,5,1350,1370,1340,1360,1340,1360,2021-22
José Diogo Dalot Teixeira,Man Utd,54,DEF,0,0,5,4,0,29,0,0,0,0,5,45,4,1210,1270,1170,1190,1190,1200,2021-22
Juraj Kucka,Watford,54,MID,1,2,2,3,1,34,1,0,0,0,2,55,2,1060,1030,1090,1040,1120,1070,2021-22
James McArthur,Crystal Palace,54,MID,0,4,5,4,0,15,0,0,0,0,5,45,3,1090,1100,1110,1160,1080,1160,2021-22
Ben Gibson,Norwich,53,DEF,0,0,6,3,1,57,0,0,0,0,0,45,2,1030,1040,1040,1040,1040,1030,2021-22
Francisco Femenía Far,Watford,53,DEF,0,5,2,2,0,49,0,0,0,0,1,45,2,1060,1030,1090,1040,1120,1070,2021-22
Nemanja Matic,Man Utd,52,MID,0,4,2,3,0,26,0,0,0,0,3,45,4,1210,1270,1170,1190,1190,1200,2021-22
Ruben Loftus-Cheek,Chelsea,52,MID,0,3,5,1,0,21,0,0,0,0,1,55,4,1290,1320,1300,1300,1250,1290,2021-22
Craig Cathcart,Watford,50,DEF,0,1,3,3,0,55,0,0,0,0,1,45,2,1060,1030,1090,1040,1120,1070,2021-22
Luke Thomas,Leicester,50,DEF,0,1,5,2,0,35,0,0,0,0,1,45,3,1090,1200,1100,1080,1150,1160,2021-22
Ashley Young,Aston Villa,50,DEF,0,2,4,2,0,19,1,0,0,0,0,50,3,1100,1100,1140,1110,1090,1090,2021-22
Callum Hudson-Odoi,Chelsea,49,MID,1,4,6,1,0,8,0,0,0,0,1,55,4,1290,1320,1300,1300,1250,1290,2021-22
Nuno Varela Tavares,Arsenal,49,DEF,1,1,3,2,0,19,0,0,0,0,2,45,4,1250,1270,1150,1210,1190,1220,2021-22
Billy Gilmour,Norwich,49,MID,0,1,2,2,0,52,0,0,0,0,1,45,2,1030,1040,1040,1040,1040,1030,2021-22
Shane Duffy,Brighton,48,DEF,1,1,4,7,0,19,0,0,0,0,3,40,3,1100,1090,1160,1160,1100,1120,2021-22
Sean Longstaff,Newcastle,48,MID,1,1,2,1,0,29,0,0,0,0,1,45,3,1090,1170,1050,1030,1040,1070,2021-22
Cédric Soares,Arsenal,48,DEF,1,1,3,3,0,27,0,0,0,0,3,45,4,1250,1270,1150,1210,1190,1220,2021-22
Tom Cleverley,Watford,48,MID,0,2,2,2,0,38,0,0,0,0,0,50,2,1060,1030,1090,1040,1120,1070,2021-22
Jack Cork,Burnley,48,MID,1,0,6,4,0,26,0,0,0,0,3,45,2,1060,1060,1080,1130,1060,1100,2021-22
Ben Johnson,West Ham,48,DEF,1,0,3,1,0,18,0,0,0,0,1,40,3,1130,1190,1110,1150,1160,1180,2021-22
Jamaal Lascelles,Newcastle,47,DEF,1,1,3,5,0,44,2,0,0,0,2,45,3,1090,1170,1050,1030,1040,1070,2021-22
Luke Shaw,Man Utd,46,DEF,0,3,3,8,0,24,0,0,0,0,3,55,4,1210,1270,1170,1190,1190,1200,2021-22
Matej Vydra,Burnley,46,FWD,2,3,2,1,0,7,0,0,0,0,4,55,2,1060,1060,1080,1130,1060,1100,2021-22
Nicolas Pépé,Arsenal,45,MID,1,4,2,0,0,9,0,0,0,0,1,75,4,1250,1270,1150,1210,1190,1220,2021-22
Fernando Luiz Rosa,Man City,45,MID,2,1,3,1,0,12,0,0,0,0,2,50,5,1350,1370,1340,1360,1340,1360,2021-22
Ben Godfrey,Everton,45,DEF,0,0,4,6,0,39,0,0,0,0,1,50,2,1050,1090,1130,1090,1110,1110,2021-22
Adam Lallana,Brighton,44,MID,0,1,6,4,0,20,0,0,0,0,0,55,3,1100,1090,1160,1160,1100,1120,2021-22
Ibrahima Diallo,Southampton,44,MID,0,3,1,1,0,21,0,0,0,0,3,45,3,1080,1110,1090,1140,1120,1090,2021-22
Pierre-Emerick Aubameyang,Arsenal,44,FWD,4,1,6,3,0,16,0,2,0,0,7,100,4,1250,1270,1150,1210,1190,1220,2021-22
Adama Traoré,Wolves,44,MID,1,1,5,0,0,10,0,0,0,0,0,60,3,1200,1170,1150,1160,1080,1100,2021-22
Calum Chambers,Aston Villa,42,DEF,1,0,4,1,0,16,0,0,0,0,2,45,3,1100,1100,1140,1110,1090,1090,2021-22
Konstantinos Tsimikas,Liverpool,42,DEF,0,2,4,3,0,6,0,0,0,0,2,40,5,1340,1360,1300,1350,1340,1350,2021-22
Alex Oxlade-Chamberlain,Liverpool,42,MID,2,1,3,0,0,7,0,0,0,0,2,60,5,1340,1360,1300,1350,1340,1350,2021-22
Aaron Wan-Bissaka,Man Utd,41,DEF,0,0,3,2,0,35,0,0,0,0,3,55,4,1210,1270,1170,1190,1190,1200,2021-22
Mads Roerslev Rasmussen,Brentford,41,DEF,1,1,1,1,0,27,0,0,0,0,4,45,2,1060,1070,1120,1150,1080,1120,2021-22
Wilfred Ndidi,Leicester,41,MID,0,1,5,4,0,26,0,0,0,0,0,50,3,1090,1200,1100,1080,1150,1160,2021-22
