name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Josh Martin,Norwich,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,2,1030,1040,1040,1040,1040,1030,2021-22
Mathew Ryan,Brighton,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,3,1100,1090,1160,1160,1100,1120,2021-22
Christoph Zimmermann,Norwich,0,DEF,0,0,0,0,0,8,0,0,0,0,0,45,2,1030,1040,1040,1040,1040,1030,2021-22
Ben Woodburn,Liverpool,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,5,1340,1360,1300,1350,1340,1350,2021-22
Pierluigi Gollini,Spurs,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,4,1210,1270,1190,1200,1210,1210,2021-22
Philip Zinckernagel,Watford,0,MID,0,0,0,0,0,0,0,0,0,0,0,55,2,1060,1030,1090,1040,1120,1070,2021-22
Christian Marques,Wolves,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,3,1200,1170,1150,1160,1080,1100,2021-22
Phil Bardsley,Burnley,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,2,1060,1060,1080,1130,1060,1100,2021-22
Matthew Longstaff,Newcastle,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,3,1090,1170,1050,1030,1040,1070,2021-22
Matthew Pollock,Watford,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,2,1060,1030,1090,1040,1120,1070,2021-22
Patrik Gunnarsson,Brentford,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,2,1060,1070,1120,1150,1080,1120,2021-22
Patrick Cutrone,Wolves,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,3,1200,1170,1150,1160,1080,1100,2021-22
Mattéo Guendouzi,Arsenal,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,4,1250,1270,1150,1210,1190,1220,2021-22
Halil Dervişoğlu,Brentford,0,FWD,0,0,0,0,0,0,0,0,0,0,0,55,2,1060,1070,1120,1150,1080,1120,2021-22
Bernard Anício Caldeira Duarte,Everton,0,MID,0,0,0,0,0,0,0,0,0,0,0,55,2,1050,1090,1130,1090,1110,1110,2021-22
Pablo Hernández Domínguez,Leeds,0,MID,0,0,0,0,0,0,0,0,0,0,0,55,3,1070,1080,1080,1070,1100,1100,2021-22
Bernardo Fernandes Da Silva Junior,Brighton,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,3,1100,1090,1160,1160,1100,1120,2021-22
Owen Otasowie,Wolves,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,3,1200,1170,1150,1160,1080,1100,2021-22
Mbwana Ally Samatta,Aston Villa,0,FWD,0,0,0,0,0,0,0,0,0,0,0,55,3,1100,1100,1140,1110,1090,1090,2021-22
Onel Hernández,Norwich,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,2,1030,1040,1040,1040,1040,1030,2021-22
Olivier Giroud,Chelsea,0,FWD,0,0,0,0,0,0,0,0,0,0,0,65,4,1290,1320,1300,1300,1250,1290,2021-22
Michael McGovern,Norwich,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,2,1030,1040,1040,1040,1040,1030,2021-22
Michael Obafemi,Southampton,0,FWD,0,0,0,0,0,0,0,0,0,0,0,45,3,1080,1110,1090,1140,1120,1090,2021-22
Michal Karbownik,Brighton,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,3,1100,1090,1160,1160,1100,1120,2021-22
Michy Batshuayi,Chelsea,0,FWD,0,0,0,0,0,0,0,0,0,0,0,55,4,1290,1320,1300,1300,1250,1290,2021-22
Björn Engels,Aston Villa,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,3,1100,1100,1140,1110,1090,1090,2021-22
Nathan Broadhead,Everton,0,FWD,0,0,0,0,0,0,0,0,0,0,0,45,2,1050,1090,1130,1090,1110,1110,2021-22
Bobby Thomas,Burnley,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,2,1060,1060,1080,1130,1060,1100,2021-22
Nathaniel Phillips,Liverpool,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,5,1340,1360,1300,1350,1340,1350,2021-22
Ben Wilmot,Watford,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,2,1060,1030,1090,1040,1120,1070,2021-22
Martin Kelly,Crystal Palace,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,3,1090,1100,1110,1160,1080,1160,2021-22
João Virgínia,Everton,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,2,1050,1090,1130,1090,1110,1110,2021-22
Conor Coventry,West Ham,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,3,1130,1190,1110,1150,1160,1180,2021-22
Serge Aurier,Spurs,0,DEF,0,0,0,0,0,0,0,0,0,0,0,50,4,1210,1270,1190,1200,1210,1210,2021-22
Domingos Quina,Watford,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,2,1060,1030,1090,1040,1120,1070,2021-22
Karl Hein,Arsenal,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,4,1250,1270,1150,1210,1190,1220,2021-22
