name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
César Azpilicueta,Chelsea,158,DEF,1,6,16,4,0,39,0,0,0,0,11,65,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Lucas Digne,Everton,158,DEF,4,5,13,5,1,38,1,0,0,0,22,50,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Leroy Sané,Man City,156,MID,10,12,9,1,0,14,0,0,0,0,13,95,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Felipe Anderson Pereira Gomes,West Ham,155,MID,9,6,7,3,0,49,0,0,0,0,18,70,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Neil Etheridge,Cardiff,154,GK,0,0,10,2,0,69,0,0,3,141,18,45,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Bernardo Mota Veiga de Carvalho e Silva,Man City,154,MID,7,8,15,3,0,22,0,0,0,0,17,75,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Richarlison de Andrade,Everton,153,MID,13,3,11,5,1,36,0,0,0,0,12,65,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Kyle Walker,Man City,150,DEF,1,1,18,3,0,17,0,0,0,0,11,65,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Salomón Rondón,Newcastle,148,FWD,11,8,9,1,0,31,0,0,0,0,20,60,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ricardo Domingos Barbosa Pereira,Leicester,146,DEF,2,8,10,7,0,45,0,0,0,0,22,50,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Hugo Lloris,Spurs,145,GK,0,0,12,0,0,33,0,0,2,100,10,55,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Matt Doherty,Wolves,144,DEF,4,7,8,5,0,41,1,0,0,0,12,45,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Lukasz Fabianski,West Ham,143,GK,0,0,7,0,0,55,0,0,1,148,15,45,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Wilfried Zaha,Crystal Palace,143,FWD,10,11,11,8,1,49,0,0,0,0,13,70,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
David Silva,Man City,143,MID,6,8,16,2,0,14,0,0,0,0,14,85,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Kepa Arrizabalaga,Chelsea,142,GK,0,0,14,2,0,39,0,0,1,82,7,55,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ayoze Pérez,Newcastle,141,FWD,12,2,11,2,0,35,0,0,0,0,19,65,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Joshua King,Bournemouth,141,FWD,12,3,10,3,0,57,0,1,0,0,20,65,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Patrick van Aanholt,Crystal Palace,140,DEF,3,2,12,3,0,46,0,0,0,0,17,55,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Diogo Jota,Wolves,139,MID,9,8,10,11,0,29,0,0,0,0,13,65,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
James Maddison,Leicester,137,MID,7,7,8,3,1,44,0,1,0,0,12,65,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Nathan Redmond,Southampton,137,MID,6,5,9,3,0,58,0,0,0,0,12,55,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Andros Townsend,Crystal Palace,135,MID,6,5,11,1,0,46,0,0,0,0,8,60,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Aleksandar Mitrovic,Fulham,134,FWD,11,4,5,7,0,78,0,0,0,0,12,65,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Gerard Deulofeu,Watford,133,MID,10,5,9,3,0,29,0,0,0,0,10,55,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Martin Dubravka,Newcastle,131,GK,0,0,11,1,0,48,0,0,0,96,10,50,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Chris Wood,Burnley,131,FWD,10,3,7,2,0,49,0,0,0,0,17,65,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Lucas Rodrigues Moura da Silva,Spurs,131,MID,10,2,14,3,0,18,0,0,0,0,8,70,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Michael Keane,Everton,129,DEF,1,2,13,2,0,39,0,0,0,0,15,50,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Glenn Murray,Brighton,129,FWD,13,1,4,5,0,45,0,0,0,0,16,65,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ben Foster,Watford,129,GK,0,0,7,1,0,59,0,0,1,128,11,45,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Marcus Rashford,Man Utd,128,FWD,10,7,6,3,1,35,0,0,0,0,14,70,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Seamus Coleman,Everton,125,DEF,2,2,13,1,0,30,1,0,0,0,12,55,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Abdoulaye Doucouré,Watford,124,MID,5,7,5,7,0,56,1,0,0,0,14,60,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
David Brooks,Bournemouth,123,MID,7,6,9,3,0,41,0,0,0,0,7,50,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Roberto Pereyra,Watford,122,MID,6,4,6,3,0,53,0,0,0,0,13,60,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ashley Barnes,Burnley,122,FWD,12,3,7,8,0,41,1,0,0,0,13,60,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Anthony Martial,Man Utd,122,MID,10,4,5,2,0,25,0,0,0,0,13,75,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
James McArthur,Crystal Palace,121,MID,3,7,11,7,0,49,0,0,0,0,7,50,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Aaron Wan-Bissaka,Crystal Palace,120,DEF,0,3,12,4,1,47,0,0,0,0,18,40,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
David De Gea,Man Utd,120,GK,0,0,7,1,0,54,0,0,0,123,7,60,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Kasper Schmeichel,Leicester,120,GK,0,0,10,3,0,48,0,0,0,90,6,50,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Willy Boly,Wolves,120,DEF,4,0,8,2,1,43,0,0,0,0,10,45,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Nathan Aké,Bournemouth,120,DEF,4,1,10,3,0,70,0,0,0,0,8,50,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
João Filipe Iria Santos Moutinho,Wolves,119,MID,1,8,9,4,0,39,0,0,0,0,13,55,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Rui Pedro dos Santos Patrício,Wolves,118,GK,0,0,8,0,0,46,0,0,0,97,4,45,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Benjamin Chilwell,Leicester,118,DEF,0,5,10,4,0,43,0,0,0,0,8,50,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Kieran Trippier,Spurs,118,DEF,1,5,10,2,0,23,1,0,0,0,16,60,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Michail Antonio,West Ham,118,MID,6,8,7,3,0,30,0,0,0,0,6,70,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Marko Arnautovic,West Ham,117,FWD,10,5,4,3,0,34,0,0,0,0,15,70,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
N'Golo Kanté,Chelsea,116,MID,4,4,14,3,0,38,0,0,0,0,3,50,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Troy Deeney,Watford,116,FWD,9,5,5,4,1,44,0,0,0,0,13,60,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Antonio Rüdiger,Chelsea,116,DEF,1,2,12,7,0,35,0,0,0,0,9,60,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Romelu Lukaku,Man Utd,115,FWD,12,1,4,4,0,38,0,0,0,0,14,110,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Shane Duffy,Brighton,115,DEF,5,2,7,4,1,55,0,0,0,0,9,45,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ilkay Gündogan,Man City,113,MID,6,3,13,3,0,15,0,0,0,0,10,55,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Pedro Rodríguez Ledesma,Chelsea,112,MID,8,2,7,2,0,19,0,0,0,0,12,65,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ashley Westwood,Burnley,111,MID,2,8,7,5,0,55,0,0,0,0,10,45,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Matt Ritchie,Newcastle,110,MID,2,8,10,9,0,40,0,1,0,0,7,60,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Willian Borges Da Silva,Chelsea,108,MID,3,7,11,2,0,25,0,0,0,0,6,75,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Georginio Wijnaldum,Liverpool,108,MID,3,1,18,3,0,16,0,0,0,0,9,55,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Toby Alderweireld,Spurs,107,DEF,0,0,12,3,0,31,1,0,0,0,7,60,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Víctor Camarasa,Cardiff,106,MID,5,4,9,6,0,53,0,0,0,0,5,45,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Bernd Leno,Arsenal,106,GK,0,0,6,0,0,42,0,0,0,105,5,50,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Mathew Ryan,Brighton,104,GK,0,0,6,2,0,55,0,0,0,97,11,45,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Rúben Diogo da Silva Neves,Wolves,104,MID,4,3,8,8,0,43,0,0,0,0,7,50,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Jonathan Castro Otto,Wolves,103,DEF,1,3,8,6,0,39,0,0,0,0,9,45,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Riyad Mahrez,Man City,102,MID,7,4,4,0,0,9,0,1,0,0,14,90,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Theo Walcott,Everton,101,MID,5,3,6,1,0,33,0,0,0,0,4,65,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
James Milner,Liverpool,101,MID,5,5,9,5,1,13,0,0,0,0,12,55,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Jonas Lössl,Huddersfield,99,GK,0,1,5,1,0,54,0,0,1,88,9,45,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Mark Noble,West Ham,99,MID,5,5,7,6,1,31,0,0,0,0,5,50,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Alex Iwobi,Arsenal,99,MID,3,8,4,0,0,32,0,0,0,0,3,55,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Henrikh Mkhitaryan,Arsenal,98,MID,6,4,3,1,0,26,0,0,0,0,12,70,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
James Tarkowski,Burnley,97,DEF,3,2,7,8,0,63,0,0,0,0,7,50,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Sean Morrison,Cardiff,97,DEF,1,4,9,6,0,63,0,0,0,0,5,50,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Bruno Ecuele Manga,Cardiff,97,DEF,0,1,10,0,0,67,0,0,0,0,4,45,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Jorge Luiz Frello Filho,Chelsea,96,MID,2,0,16,8,0,37,0,0,0,0,4,50,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Jamaal Lascelles,Newcastle,95,DEF,0,1,10,4,0,36,0,0,0,0,8,50,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Sol Bamba,Cardiff,95,DEF,4,1,7,7,0,52,0,0,0,0,11,45,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Ryan Sessegnon,Fulham,94,MID,2,7,3,0,0,60,0,0,0,0,3,65,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Solomon March,Brighton,94,MID,1,6,6,1,0,40,0,0,0,0,5,50,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Bamidele Alli,Spurs,94,MID,5,4,8,4,0,21,0,0,0,0,8,90,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
James Ward-Prowse,Southampton,94,MID,7,0,3,4,0,41,1,0,0,0,15,55,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Conor Coady,Wolves,94,DEF,0,0,9,5,0,46,3,0,0,0,6,45,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Fabian Schär,Newcastle,93,DEF,4,1,7,12,0,23,0,0,0,0,9,50,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Craig Cathcart,Watford,93,DEF,3,0,6,2,0,54,2,0,0,0,5,45,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
José Holebas,Watford,93,DEF,3,7,5,12,1,41,0,0,0,0,10,45,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Declan Rice,West Ham,92,DEF,2,0,6,4,0,47,0,0,0,0,9,45,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Dominic Calvert-Lewin,Everton,92,FWD,6,5,8,3,0,26,0,0,0,0,3,55,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Johann Berg Gudmundsson,Burnley,92,MID,3,7,5,2,0,39,0,0,0,0,6,60,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Harry Maguire,Leicester,92,DEF,3,1,6,6,1,41,0,0,0,0,10,55,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Lewis Dunk,Brighton,91,DEF,2,1,7,5,1,56,0,0,0,0,6,45,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Luke Shaw,Man Utd,91,DEF,1,5,6,11,0,39,0,0,0,0,11,50,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Aaron Ramsey,Arsenal,91,MID,4,6,9,0,0,13,0,0,0,0,4,75,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Jeffrey Schlupp,Crystal Palace,91,DEF,4,3,4,1,0,26,0,0,0,0,3,45,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Pierre-Emile Højbjerg,Southampton,90,MID,4,3,4,7,2,59,0,0,0,0,8,45,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Danny Ings,Southampton,90,FWD,7,3,5,1,0,27,0,0,0,0,11,55,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Granit Xhaka,Arsenal,90,MID,4,3,7,10,0,37,0,0,0,0,8,55,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Mesut Özil,Arsenal,89,MID,5,3,5,2,0,24,0,0,0,0,9,85,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Wilfred Ndidi,Leicester,89,MID,2,0,9,8,0,47,0,0,0,0,4,50,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ryan Bennett,Wolves,89,DEF,1,0,9,12,0,38,0,0,0,0,1,40,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Mamadou Sakho,Crystal Palace,88,DEF,0,0,9,2,0,35,0,0,0,0,13,50,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Bernard Anício Caldeira Duarte,Everton,88,MID,1,4,13,5,0,19,0,0,0,0,5,60,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Xherdan Shaqiri,Liverpool,88,MID,6,5,7,2,0,6,0,0,0,0,4,75,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Jack Cork,Burnley,87,MID,1,2,8,6,0,63,0,0,0,0,0,50,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Will Hughes,Watford,87,MID,2,4,7,5,0,39,0,0,0,0,5,50,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Issa Diop,West Ham,87,DEF,1,0,7,4,0,43,1,0,0,0,6,45,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Danny Rose,Spurs,86,DEF,0,4,8,5,0,16,0,0,0,0,5,60,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Javier Hernández Balcázar,West Ham,86,FWD,7,4,6,2,0,20,0,0,0,0,10,65,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Sergio Rico,Fulham,86,GK,0,0,5,1,0,56,0,0,0,111,8,45,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
James Tomkins,Crystal Palace,86,DEF,1,1,10,6,0,37,0,0,0,0,0,45,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Victor Lindelöf,Man Utd,85,DEF,1,1,6,1,0,40,1,0,0,0,9,50,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Steve Cook,Bournemouth,85,DEF,1,1,9,3,0,56,1,0,0,0,6,45,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Robert Snodgrass,West Ham,85,MID,2,5,5,10,0,33,0,0,0,0,9,55,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Demarai Gray,Leicester,84,MID,4,1,6,2,0,29,0,0,0,0,3,55,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
John Stones,Man City,83,DEF,0,0,9,1,0,15,0,0,0,0,9,55,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Joel Matip,Liverpool,83,DEF,1,0,9,3,0,12,0,0,0,0,7,50,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Andre Gray,Watford,83,FWD,7,2,4,2,0,23,0,0,0,0,10,60,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
David Junior Hoilett,Cardiff,82,MID,3,2,6,4,0,46,0,0,0,0,4,55,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Charlie Taylor,Burnley,82,DEF,0,1,7,2,0,64,0,0,0,0,2,45,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Vicente Guaita,Crystal Palace,81,GK,0,0,7,2,0,23,0,0,0,64,8,45,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ben Mee,Burnley,81,DEF,0,2,8,9,0,68,2,0,0,0,5,50,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Sead Kolasinac,Arsenal,81,DEF,0,7,5,5,0,29,1,0,0,0,10,50,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Pascal Groß,Brighton,80,MID,3,3,3,1,0,31,0,1,0,0,12,70,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Shkodran Mustafi,Arsenal,80,DEF,2,0,6,9,0,40,0,0,0,0,5,55,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Bobby Reid,Cardiff,80,FWD,5,3,4,0,0,30,0,0,0,0,9,55,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Callum Paterson,Cardiff,80,MID,4,2,5,4,0,41,0,0,0,0,4,55,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Ruben Loftus-Cheek,Chelsea,79,MID,6,2,5,0,0,9,0,0,0,0,6,55,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Fernando Luiz Rosa,Man City,79,MID,1,3,12,5,0,15,0,0,0,0,4,55,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ross Barkley,Chelsea,79,MID,3,5,7,1,0,13,0,0,0,0,5,60,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Etienne Capoue,Watford,79,MID,1,3,8,14,1,48,0,0,0,0,8,50,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Gabriel Fernando de Jesus,Man City,79,FWD,7,3,2,1,0,11,0,0,0,0,7,105,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Jesse Lingard,Man Utd,78,MID,4,3,3,3,0,26,0,0,0,0,5,70,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Lucas Torreira,Arsenal,78,MID,2,4,5,7,1,38,0,0,0,0,6,50,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Davinson Sánchez,Spurs,78,DEF,1,2,6,2,0,22,0,0,0,0,4,60,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
