name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Mohamed Salah,Liverpool,259,MID,22,12,21,1,0,20,0,0,0,0,18,130,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Eden Hazard,Chelsea,238,MID,16,15,12,2,0,35,0,0,0,0,35,105,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Raheem Sterling,Man City,234,MID,17,15,17,3,0,19,0,0,0,0,25,110,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Sadio Mané,Liverpool,231,MID,22,3,19,2,0,21,0,0,0,0,24,95,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Andrew Robertson,Liverpool,213,DEF,0,12,21,4,0,20,0,0,0,0,29,60,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Virgil van Dijk,Liverpool,208,DEF,4,4,20,1,0,22,0,0,0,0,22,60,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Pierre-Emerick Aubameyang,Arsenal,205,FWD,22,7,7,0,0,42,0,1,0,0,32,110,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Sergio Agüero,Man City,201,FWD,21,11,17,4,0,15,0,0,0,0,26,110,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Trent Alexander-Arnold,Liverpool,185,DEF,1,13,16,3,0,14,0,0,0,0,25,50,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Gylfi Sigurdsson,Everton,182,MID,13,6,15,3,0,41,0,3,0,0,20,75,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ryan Fraser,Bournemouth,181,MID,7,14,9,2,0,64,0,0,0,0,23,55,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Raúl Jiménez,Wolves,181,FWD,13,10,12,4,0,40,0,0,0,0,31,55,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,1
Paul Pogba,Man Utd,179,MID,13,10,8,6,0,43,0,3,0,0,19,80,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Aymeric Laporte,Man City,177,DEF,3,3,18,3,0,21,0,0,0,0,16,55,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Alisson Ramses Becker,Liverpool,176,GK,0,0,21,1,0,22,0,0,0,76,9,55,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Jamie Vardy,Leicester,174,FWD,18,5,11,3,1,36,0,1,0,0,31,90,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Ederson Santana de Moraes,Man City,169,GK,0,1,20,2,0,23,0,0,0,58,6,55,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Callum Wilson,Bournemouth,168,FWD,14,12,9,3,0,47,0,1,0,0,22,60,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Luka Milivojevic,Crystal Palace,166,MID,12,2,12,10,0,53,0,1,0,0,24,65,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Alexandre Lacazette,Arsenal,166,FWD,13,12,6,2,0,31,0,0,0,0,20,95,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
David Luiz Moreira Marinho,Chelsea,164,DEF,3,2,16,3,0,36,0,0,0,0,19,55,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Christian Eriksen,Spurs,161,MID,8,12,8,3,0,37,0,0,0,0,15,95,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Jordan Pickford,Everton,161,GK,0,0,14,1,0,46,0,0,3,94,13,50,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Marcos Alonso,Chelsea,161,DEF,2,8,14,6,0,28,0,0,0,0,21,65,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Roberto Firmino,Liverpool,160,FWD,12,8,19,0,0,15,0,0,0,0,24,95,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Harry Kane,Spurs,160,FWD,17,6,9,5,0,31,0,0,0,0,24,125,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
Heung-Min Son,Spurs,159,MID,12,8,10,2,1,23,0,0,0,0,17,85,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,0
