name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship,season_start,name_season
Julien Ngoy,Stoke,5,FWD,0,0,0,0,0,1,0,0,0,0,0,45,,49,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Julien Ngoy (2016-17)
Aleix García Serrano,Man City,4,MID,0,0,0,0,0,2,0,0,0,0,0,50,,77,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Aleix García Serrano (2016-17)
Marko Grujic,Liverpool,4,MID,0,0,0,1,0,0,0,0,0,0,0,50,,43,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Marko Grujic (2016-17)
Jordon Mutch,Crystal Palace,4,MID,0,0,0,0,0,1,0,0,0,0,0,45,,53,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jordon Mutch (2016-17)
David Nugent,Middlesbrough,4,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,43,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,David Nugent (2016-17)
Tyrone Mings,Bournemouth,4,DEF,0,0,0,0,0,16,2,0,0,0,2,45,6.0,506,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Tyrone Mings (2016-17)
Kevin Stewart,Liverpool,4,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,20,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Kevin Stewart (2016-17)
Filip Lesniak,Spurs,4,MID,0,1,0,0,0,0,0,0,0,0,0,45,,5,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Filip Lesniak (2016-17)
Bradley Smith,Bournemouth,4,DEF,0,0,0,1,0,9,0,0,0,0,0,40,3.0,269,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Bradley Smith (2016-17)
Ryan Allsop,Bournemouth,3,GK,0,0,0,0,0,1,0,0,0,4,0,40,1.0,90,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ryan Allsop (2016-17)
Memphis Depay,Man Utd,3,MID,0,0,0,1,0,1,0,0,0,0,0,75,,24,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Memphis Depay (2016-17)
Ola Aina,Chelsea,3,DEF,0,0,0,0,0,0,0,0,0,0,0,50,,26,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ola Aina (2016-17)
Harrison Reed,Southampton,3,MID,0,0,0,0,0,1,0,0,0,0,0,45,,64,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Harrison Reed (2016-17)
Kristoffer Nordfeldt,Swansea,3,GK,0,0,0,0,0,1,0,0,0,4,0,40,1.0,90,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Kristoffer Nordfeldt (2016-17)
Aiden O'Neill,Burnley,3,MID,0,0,0,0,0,4,0,0,0,0,0,45,,85,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Aiden O'Neill (2016-17)
Albert Adomah,Middlesbrough,3,MID,0,0,0,0,0,2,0,0,0,0,0,55,1.0,122,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Albert Adomah (2016-17)
Luis Hernández,Leicester,3,DEF,0,0,0,1,0,8,0,0,0,0,0,45,3.0,327,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Luis Hernández (2016-17)
Kevin Long,Burnley,3,DEF,0,0,0,0,0,6,0,0,0,0,0,40,3.0,270,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Kevin Long (2016-17)
Robert Kenedy Nunes do Nascimento,Chelsea,3,MID,0,0,0,0,0,3,0,0,0,0,0,55,1.0,90,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Robert Kenedy Nunes do Nascimento (2016-17)
Scott McTominay,Man Utd,3,MID,0,0,1,1,0,0,0,0,0,0,0,45,1.0,97,35,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Scott McTominay (2016-17)
Daniel Agyei,Burnley,3,FWD,0,0,0,0,0,0,0,0,0,0,0,45,,25,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Daniel Agyei (2016-17)
Oviemuno Ejaria,Liverpool,2,MID,0,0,0,0,0,0,0,0,0,0,0,45,,8,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Oviemuno Ejaria (2016-17)
Asmir Begovic,Chelsea,2,GK,0,0,0,0,0,5,0,0,0,1,0,50,2.0,180,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Asmir Begovic (2016-17)
Martín Cáceres,Southampton,2,DEF,0,0,0,0,0,1,0,0,0,0,0,50,1.0,90,27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Martín Cáceres (2016-17)
David Ospina,Arsenal,2,GK,0,0,0,0,0,4,0,0,0,4,0,50,1.0,143,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,David Ospina (2016-17)
Lukas Jutkiewicz,Burnley,2,FWD,0,0,0,0,0,0,0,0,0,0,0,45,,13,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Lukas Jutkiewicz (2016-17)
Carl Jenkinson,Arsenal,2,DEF,0,0,0,0,0,1,0,0,0,0,0,50,1.0,82,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Carl Jenkinson (2016-17)
Dion Pereira,Watford,2,MID,0,0,0,0,0,1,0,0,0,0,0,45,,25,31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Dion Pereira (2016-17)
Mile Jedinak,Crystal Palace,2,MID,0,0,0,0,0,1,0,0,0,0,0,45,1.0,90,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Mile Jedinak (2016-17)
Jeremain Lens,Sunderland,2,MID,0,0,0,0,0,1,0,0,0,0,0,60,,69,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jeremain Lens (2016-17)
Kevin Wimmer,Spurs,2,DEF,0,0,0,3,0,4,1,0,0,0,0,50,3.0,357,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Kevin Wimmer (2016-17)
Costel Pantilimon,Watford,2,GK,0,0,0,0,0,4,0,0,0,6,0,45,,83,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Costel Pantilimon (2016-17)
Ikechi Anya,Watford,1,MID,0,0,0,0,0,0,0,0,0,0,0,45,,10,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ikechi Anya (2016-17)
Ainsley Maitland-Niles,Arsenal,1,MID,0,0,0,0,0,0,0,0,0,0,0,45,,2,9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ainsley Maitland-Niles (2016-17)
Marcin Wasilewski,Leicester,1,DEF,0,0,0,0,0,2,0,0,0,0,0,40,1.0,90,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Marcin Wasilewski (2016-17)
Ben Watson,Watford,1,MID,0,0,0,0,1,2,0,0,0,0,0,45,,54,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ben Watson (2016-17)
Per Mertesacker,Arsenal,1,DEF,0,0,0,0,0,1,0,0,0,0,0,50,,38,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Per Mertesacker (2016-17)
Philipp Wollscheid,Stoke,1,DEF,0,0,0,1,0,5,0,0,0,0,0,45,2.0,180,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Philipp Wollscheid (2016-17)
Jonathan Benteke,Crystal Palace,1,FWD,0,0,0,0,0,0,0,0,0,0,0,45,,7,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jonathan Benteke (2016-17)
Baily Cargill,Bournemouth,1,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,13,24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Baily Cargill (2016-17)
Sullay Kaikai,Crystal Palace,1,MID,0,0,0,0,0,0,0,0,0,0,0,45,,24,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Sullay Kaikai (2016-17)
Mathieu Debuchy,Arsenal,1,DEF,0,0,0,0,0,0,0,0,0,0,0,50,,15,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Mathieu Debuchy (2016-17)
Rickie Lambert,West Brom,1,FWD,0,0,0,0,0,0,0,0,0,0,0,55,,13,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Rickie Lambert (2016-17)
David Jones,Burnley,1,MID,0,0,0,1,0,1,0,0,0,0,0,50,1.0,86,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,David Jones (2016-17)
Joel Asoro,Sunderland,1,MID,0,0,0,0,0,0,0,0,0,0,0,45,,10,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Joel Asoro (2016-17)
Joleon Lescott,Sunderland,1,DEF,0,0,0,0,0,5,0,0,0,0,0,40,1.0,124,23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Joleon Lescott (2016-17)
Angel Gomes,Man Utd,1,MID,0,0,0,0,0,0,0,0,0,0,0,45,,3,38,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Angel Gomes (2016-17)
Samir Nasri,Man City,1,MID,0,0,0,0,0,0,0,0,0,0,0,65,,16,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Samir Nasri (2016-17)
Matej Vydra,Watford,1,FWD,0,0,0,0,0,0,0,0,0,0,0,45,,3,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Matej Vydra (2016-17)
Declan Rice,West Ham,1,MID,0,0,0,0,0,0,0,0,0,0,0,45,,1,18,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Declan Rice (2016-17)
Jonjoe Kenny,Everton,1,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,13,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jonjoe Kenny (2016-17)
Matthew James,Leicester,1,MID,0,0,0,0,0,0,0,0,0,0,0,45,,1,13,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Matthew James (2016-17)
Matthew Worthington,Bournemouth,1,MID,0,0,0,0,0,0,0,0,0,0,0,45,,17,38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Matthew Worthington (2016-17)
Brandon Mason,Watford,1,DEF,0,0,0,0,0,5,0,0,0,0,0,40,1.0,113,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Brandon Mason (2016-17)
Michael Folivi,Watford,1,FWD,0,0,0,0,0,0,0,0,0,0,0,45,,10,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Michael Folivi (2016-17)
Zachary Dearnley,Man Utd,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,38,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Zachary Dearnley (2016-17)
Fredrik Ulvestad,Burnley,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Fredrik Ulvestad (2016-17)
Jeff Reine-Adelaide,Arsenal,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jeff Reine-Adelaide (2016-17)
Eunan O'Kane,Bournemouth,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Eunan O'Kane (2016-17)
Stephen Ireland,Stoke,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Stephen Ireland (2016-17)
Álvaro Arbeloa,West Ham,0,DEF,0,0,0,3,0,9,0,0,0,0,0,50,3.0,258,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Álvaro Arbeloa (2016-17)
Alex Pritchard,Spurs,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Alex Pritchard (2016-17)
Alex Pike,West Ham,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Alex Pike (2016-17)
James Wilson,Man Utd,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,James Wilson (2016-17)
Steven Berghuis,Watford,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Steven Berghuis (2016-17)
Aaron Wan-Bissaka,Crystal Palace,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Aaron Wan-Bissaka (2016-17)
Daniel James,Swansea,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Daniel James (2016-17)
Alex Palmer,West Brom,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Alex Palmer (2016-17)
James Weir,Hull,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,James Weir (2016-17)
Ethan Robson,Sunderland,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ethan Robson (2016-17)
Alex McCarthy,Southampton,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Alex McCarthy (2016-17)
Stuart Taylor,Southampton,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Stuart Taylor (2016-17)
Yaya Sanogo,Arsenal,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Yaya Sanogo (2016-17)
Danny Ings,Liverpool,0,FWD,0,0,0,0,0,0,0,0,0,0,0,60,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Danny Ings (2016-17)
Andrew Eleftheriou,Watford,0,DEF,0,0,0,0,0,2,0,0,0,0,0,40,,52,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Andrew Eleftheriou (2016-17)
Joe Hart,Man City,0,GK,0,0,0,0,0,0,0,0,0,0,0,55,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Joe Hart (2016-17)
John Obi Mikel,Chelsea,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,John Obi Mikel (2016-17)
Andreas Pereira,Man Utd,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Andreas Pereira (2016-17)
Serge Gnabry,Arsenal,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Serge Gnabry (2016-17)
Florin Gardos,Southampton,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Florin Gardos (2016-17)
Daniel Kemp,West Ham,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Daniel Kemp (2016-17)
Joel Taylor,Stoke,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Joel Taylor (2016-17)
Daniel Lafferty,Burnley,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Daniel Lafferty (2016-17)
Shaun MacDonald,Bournemouth,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Shaun MacDonald (2016-17)
Joel Campbell,Arsenal,0,MID,0,0,0,0,0,0,0,0,0,0,0,60,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Joel Campbell (2016-17)
Franck Tabanou,Swansea,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Franck Tabanou (2016-17)
Almen Abdi,Watford,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Almen Abdi (2016-17)
Allan McGregor,Hull,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Allan McGregor (2016-17)
Aaron Ramsdale,Bournemouth,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Aaron Ramsdale (2016-17)
Joe Williams,Everton,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Joe Williams (2016-17)
Abdul Rahman Baba,Chelsea,0,DEF,0,0,0,0,0,0,0,0,0,0,0,55,,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Abdul Rahman Baba (2016-17)
Alexander Manninger,Liverpool,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Alexander Manninger (2016-17)
Guillermo Varela,Man Utd,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Guillermo Varela (2016-17)
Eliaquim Mangala,Man City,0,DEF,0,0,0,0,0,0,0,0,0,0,0,55,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Eliaquim Mangala (2016-17)
Greg Luer,Hull,0,FWD,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Greg Luer (2016-17)
Jack Rose,West Brom,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jack Rose (2016-17)
Elliott Moore,Leicester,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,37,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Elliott Moore (2016-17)
Tyias Browning,Everton,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Tyias Browning (2016-17)
Adam Reach,Middlesbrough,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Adam Reach (2016-17)
Dionatan do Nascimento Teixeira,Stoke,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Dionatan do Nascimento Teixeira (2016-17)
Elliot Embleton,Sunderland,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Elliot Embleton (2016-17)
Domingos Quina,West Ham,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Domingos Quina (2016-17)
Hiram Boateng,Crystal Palace,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Hiram Boateng (2016-17)
DeAndre Yedlin,Spurs,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,DeAndre Yedlin (2016-17)
Dominic Solanke,Chelsea,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Dominic Solanke (2016-17)
Harry Wilson,Liverpool,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,28,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Harry Wilson (2016-17)
Dusan Kuciak,Hull,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Dusan Kuciak (2016-17)
Greg Olley,Hull,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Greg Olley (2016-17)
Harry Lewis,Southampton,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,20,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Harry Lewis (2016-17)
Eduardo Dos Reis Carvalho,Chelsea,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Eduardo Dos Reis Carvalho (2016-17)
Gökhan Inler,Leicester,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Gökhan Inler (2016-17)
Tommie Hoban,Watford,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Tommie Hoban (2016-17)
Dimitrios Konstantopoulos,Middlesbrough,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Dimitrios Konstantopoulos (2016-17)
Jake Hesketh,Southampton,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jake Hesketh (2016-17)
Jakob Haugaard,Stoke,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jakob Haugaard (2016-17)
Sébastien Pocognoli,West Brom,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Sébastien Pocognoli (2016-17)
Takuma Asano,Arsenal,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Takuma Asano (2016-17)
Tendayi Darikwa,Burnley,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Tendayi Darikwa (2016-17)
Alex Bruce,Hull,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Alex Bruce (2016-17)
Thibaud Verlinden,Stoke,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Thibaud Verlinden (2016-17)
Alex Baptiste,Middlesbrough,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Alex Baptiste (2016-17)
Thomas Edwards,Stoke,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Thomas Edwards (2016-17)
Thomas Robson,Sunderland,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Thomas Robson (2016-17)
Giedrius Arlauskis,Watford,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Giedrius Arlauskis (2016-17)
Adam Matthews,Sunderland,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Adam Matthews (2016-17)
Jonathan Williams,Crystal Palace,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jonathan Williams (2016-17)
James Husband,Middlesbrough,0,DEF,0,0,0,0,0,3,0,0,0,0,0,40,,58,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,James Husband (2016-17)
Tokelo Rantie,Bournemouth,0,FWD,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Tokelo Rantie (2016-17)
Emerson Hyndman,Bournemouth,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Emerson Hyndman (2016-17)
James Chester,West Brom,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,James Chester (2016-17)
Gerhard Tremmel,Swansea,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,38,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Gerhard Tremmel (2016-17)
Mohamed Diamé,Hull,0,MID,0,0,0,0,0,0,0,0,0,0,0,55,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Mohamed Diamé (2016-17)
Samuel Shashoua,Spurs,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Samuel Shashoua (2016-17)
Carl Stewart,Watford,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Carl Stewart (2016-17)
