name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship,season_start,name_season
Ross Barkley,Everton,144,MID,5,11,12,5,0,36,0,0,0,0,11,75,32.0,2900,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ross Barkley (2016-17)
Hugo Lloris,Spurs,143,GK,0,0,15,0,0,24,0,0,0,78,6,55,32.0,3004,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Hugo Lloris (2016-17)
Kyle Walker,Spurs,142,DEF,0,6,14,8,0,21,0,0,0,0,18,55,30.0,2701,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Kyle Walker (2016-17)
Thibaut Courtois,Chelsea,141,GK,0,0,16,1,0,28,0,0,0,69,0,55,36.0,3240,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Thibaut Courtois (2016-17)
James Milner,Liverpool,139,MID,7,4,12,5,0,35,0,1,0,0,16,65,35.0,3154,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,James Milner (2016-17)
Adam Lallana,Liverpool,139,MID,8,7,9,3,0,32,0,0,0,0,14,70,27.0,2338,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Adam Lallana (2016-17)
David de Gea,Man Utd,136,GK,0,0,14,2,0,29,0,0,0,74,5,55,34.0,3150,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,David de Gea (2016-17)
Christian Benteke,Crystal Palace,136,FWD,15,2,7,10,0,58,0,2,0,0,13,75,34.0,3131,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Christian Benteke (2016-17)
Leighton Baines,Everton,135,DEF,2,5,11,4,0,34,0,1,0,0,15,55,31.0,2819,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Leighton Baines (2016-17)
Petr Cech,Arsenal,134,GK,0,0,12,2,0,37,1,0,0,115,2,55,32.0,3097,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Petr Cech (2016-17)
Fraser Forster,Southampton,134,GK,0,0,14,3,0,48,0,0,1,76,4,50,36.0,3420,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Fraser Forster (2016-17)
Charlie Daniels,Bournemouth,134,DEF,4,3,10,1,0,53,0,0,0,0,14,50,34.0,3060,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Charlie Daniels (2016-17)
Seamus Coleman,Everton,133,DEF,4,4,10,3,0,28,0,0,0,0,15,55,26.0,2316,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Seamus Coleman (2016-17)
Robert Snodgrass,West Ham,133,MID,7,6,3,2,0,56,0,0,0,0,16,55,28.0,2548,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Robert Snodgrass (2016-17)
Manuel Lanzini,West Ham,133,MID,8,3,9,9,0,53,0,0,0,0,20,65,29.0,2708,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Manuel Lanzini (2016-17)
Michail Antonio,West Ham,132,MID,9,8,7,4,1,43,0,0,0,0,8,70,26.0,2433,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Michail Antonio (2016-17)
David Luiz Moreira Marinho,Chelsea,132,DEF,1,1,15,6,0,26,0,0,0,0,10,60,33.0,2954,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,David Luiz Moreira Marinho (2016-17)
Gareth McAuley,West Brom,131,DEF,6,1,7,5,0,45,1,0,0,0,14,45,34.0,3140,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Gareth McAuley (2016-17)
Etienne Capoue,Watford,131,MID,7,2,7,5,0,60,0,0,0,0,14,45,36.0,3204,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Etienne Capoue (2016-17)
David Silva,Man City,130,MID,4,9,12,6,0,32,0,0,0,0,12,90,30.0,2760,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,David Silva (2016-17)
Álvaro Negredo,Middlesbrough,130,FWD,9,5,10,5,0,45,0,0,0,0,17,65,30.0,2872,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Álvaro Negredo (2016-17)
Troy Deeney,Watford,130,FWD,10,4,6,7,0,52,1,0,0,0,18,70,32.0,2944,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Troy Deeney (2016-17)
Nathaniel Clyne,Liverpool,129,DEF,0,2,12,0,0,41,0,0,0,0,13,55,37.0,3323,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Nathaniel Clyne (2016-17)
Ashley Williams,Everton,127,DEF,1,3,13,7,1,40,0,0,0,0,9,50,35.0,3160,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ashley Williams (2016-17)
Nathan Redmond,Southampton,126,MID,7,1,12,2,1,40,0,0,0,0,13,60,31.0,2898,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Nathan Redmond (2016-17)
Jan Vertonghen,Spurs,126,DEF,0,0,15,5,0,21,0,0,0,0,8,55,32.0,2894,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Jan Vertonghen (2016-17)
Ryan Bertrand,Southampton,123,DEF,2,5,12,3,0,36,0,0,0,0,9,55,27.0,2507,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ryan Bertrand (2016-17)
Theo Walcott,Arsenal,122,MID,10,3,8,1,0,26,0,1,0,0,7,75,23.0,1916,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Theo Walcott (2016-17)
Cesc Fàbregas,Chelsea,121,MID,5,15,4,8,0,14,0,0,0,0,14,75,12.0,1340,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Cesc Fàbregas (2016-17)
