Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Max Aarons,DEF,2020-21,2,2021-22,55.0,0.0,2.0,45.0,Max Aarons (2021-22),Aarons: 21/22,Norwich,Norwich
Tom Huddlestone,MID,2015-16,2,2016-17,62.0,1.0,2.0,50.0,Tom Huddlestone (2016-17),Huddlestone: 16/17,Hull,Hull
Ben Mee,DEF,2015-16,2,2016-17,94.0,1.0,2.0,45.0,Ben Mee (2016-17),Mee: 16/17,Burnley,Burnley
Ivan Cavaleiro,MID,2021-22,2,2022-23,0.0,0.0,0.0,50.0,Ivan Cavaleiro (2022-23),Cavaleiro: 22/23,Fulham,Fulham
Jamie Shackleton,MID,2019-20,2,2020-21,17.0,0.0,0.0,50.0,Jamie Shackleton (2020-21),Shackleton: 20/21,Leeds,Leeds
Kieron Freeman,DEF,2018-19,2,2019-20,2.0,0.0,0.0,45.0,Kieron Freeman (2019-20),Freeman: 19/20,Sheffield Utd,Sheffield Utd
Ahmed Elmohamady,DEF,2018-19,2,2019-20,39.0,1.0,1.0,45.0,Ahmed Elmohamady (2019-20),Elmohamady: 19/20,Aston Villa,Aston Villa
Birkir Bjarnason,MID,2018-19,2,2019-20,0.0,0.0,0.0,45.0,Birkir Bjarnason (2019-20),Bjarnason: 19/20,Aston Villa,Aston Villa
Max Aarons,DEF,2018-19,2,2019-20,66.0,0.0,2.0,45.0,Max Aarons (2019-20),Aarons: 19/20,Norwich,Norwich
Cauley Woodrow,FWD,2022-23,2,2023-24,33.0,1.0,1.0,45.0,Cauley Woodrow (2023-24),Woodrow: 23/24,Luton,Luton
Kalvin Phillips,MID,2019-20,2,2020-21,67.0,1.0,2.0,50.0,Kalvin Phillips (2020-21),Phillips: 20/21,Leeds,Leeds
Rajiv van La Parra,MID,2016-17,2,2017-18,74.0,3.0,0.0,50.0,Rajiv van La Parra (2017-18),van La Parra: 17/18,Huddersfield,Huddersfield
Dale Stephens,MID,2016-17,2,2017-18,87.0,0.0,3.0,45.0,Dale Stephens (2017-18),Stephens: 17/18,Brighton,Brighton
Christopher Schindler,DEF,2016-17,2,2017-18,102.0,0.0,2.0,45.0,Christopher Schindler (2017-18),Schindler: 17/18,Huddersfield,Huddersfield
Collin Quaner,FWD,2016-17,2,2017-18,44.0,0.0,4.0,45.0,Collin Quaner (2017-18),Quaner: 17/18,Huddersfield,Huddersfield
Jack Payne,MID,2016-17,2,2017-18,0.0,0.0,0.0,45.0,Jack Payne (2017-18),Payne: 17/18,Huddersfield,Huddersfield
Jamie Murphy,MID,2016-17,2,2017-18,6.0,0.0,0.0,50.0,Jamie Murphy (2017-18),Murphy: 17/18,Brighton,Brighton
Chris Löwe,DEF,2016-17,2,2017-18,60.0,0.0,0.0,45.0,Chris Löwe (2017-18),Löwe: 17/18,Huddersfield,Huddersfield
Isaac Hayden,MID,2016-17,2,2017-18,41.0,1.0,0.0,45.0,Isaac Hayden (2017-18),Hayden: 17/18,Newcastle,Newcastle
Lewis Dunk,DEF,2016-17,2,2017-18,97.0,1.0,1.0,45.0,Lewis Dunk (2017-18),Dunk: 17/18,Brighton,Brighton
Shane Duffy,DEF,2016-17,2,2017-18,100.0,0.0,2.0,45.0,Shane Duffy (2017-18),Duffy: 17/18,Brighton,Brighton
Philip Billing,MID,2016-17,2,2017-18,22.0,0.0,0.0,45.0,Philip Billing (2017-18),Billing: 17/18,Huddersfield,Huddersfield
John Fleck,MID,2018-19,2,2019-20,101.0,5.0,2.0,50.0,John Fleck (2019-20),Fleck: 19/20,Sheffield Utd,Sheffield Utd
Jordan Clark,MID,2022-23,2,2023-24,44.0,1.0,1.0,50.0,Jordan Clark (2023-24),Clark: 23/24,Luton,Luton
Alfie Doughty,DEF,2022-23,2,2023-24,101.0,2.0,10.0,45.0,Alfie Doughty (2023-24),Doughty: 23/24,Luton,Luton
John Egan,DEF,2022-23,2,2023-24,1.0,0.0,0.0,45.0,John Egan (2023-24),Egan: 23/24,Sheffield Utd,Sheffield Utd
Jayden Bogle,DEF,2022-23,2,2023-24,63.0,3.0,3.0,45.0,Jayden Bogle (2023-24),Bogle: 23/24,Sheffield Utd,Sheffield Utd
Luke Freeman,MID,2022-23,2,2023-24,0.0,0.0,0.0,50.0,Luke Freeman (2023-24),Freeman: 23/24,Luton,Luton
Emiliano Marcondes,MID,2021-22,2,2022-23,1.0,0.0,0.0,50.0,Emiliano Marcondes (2022-23),Marcondes: 22/23,Bournemouth,Bournemouth
Liam Cooper,DEF,2019-20,2,2020-21,59.0,1.0,0.0,45.0,Liam Cooper (2020-21),Cooper: 20/21,Leeds,Leeds
Reece Burke,DEF,2022-23,2,2023-24,40.0,0.0,4.0,40.0,Reece Burke (2023-24),Burke: 23/24,Luton,Luton
Kyle Edwards,MID,2019-20,2,2020-21,5.0,0.0,0.0,50.0,Kyle Edwards (2020-21),Edwards: 20/21,West Brom,West Brom
Oliver Norwood,MID,2022-23,2,2023-24,42.0,1.0,0.0,50.0,Oliver Norwood (2023-24),Norwood: 23/24,Sheffield Utd,Sheffield Utd
Gabriel Osho,DEF,2022-23,2,2023-24,41.0,2.0,0.0,45.0,Gabriel Osho (2023-24),Osho: 23/24,Luton,Luton
Christoph Zimmermann,DEF,2018-19,2,2019-20,35.0,0.0,1.0,45.0,Christoph Zimmermann (2019-20),Zimmermann: 19/20,Norwich,Norwich
Tyrone Mings,DEF,2018-19,2,2019-20,90.0,2.0,2.0,45.0,Tyrone Mings (2019-20),Mings: 19/20,Aston Villa,Aston Villa
Darnell Furlong,DEF,2019-20,2,2020-21,79.0,1.0,3.0,45.0,Darnell Furlong (2020-21),Furlong: 20/21,West Brom,West Brom
Moritz Leitner,MID,2018-19,2,2019-20,16.0,0.0,0.0,45.0,Moritz Leitner (2019-20),Leitner: 19/20,Norwich,Norwich
Daniel Jebbison,FWD,2022-23,1,2023-24,1.0,0.0,0.0,50.0,Daniel Jebbison (2023-24),Jebbison: 23/24,Sheffield Utd,Sheffield Utd
Max Lowe,DEF,2022-23,1,2023-24,13.0,0.0,1.0,45.0,Max Lowe (2023-24),Lowe: 23/24,Sheffield Utd,Sheffield Utd
Ben Osborn,MID,2022-23,1,2023-24,38.0,0.0,2.0,50.0,Ben Osborn (2023-24),Osborn: 23/24,Sheffield Utd,Sheffield Utd
John Fleck,MID,2022-23,1,2023-24,3.0,0.0,0.0,50.0,John Fleck (2023-24),Fleck: 23/24,Sheffield Utd,Sheffield Utd
Lyle Foster,FWD,2022-23,1,2023-24,75.0,5.0,3.0,50.0,Lyle Foster (2023-24),Foster: 23/24,Burnley,Burnley
Josh Onomah,MID,2021-22,1,2022-23,2.0,0.0,0.0,45.0,Josh Onomah (2022-23),Onomah: 22/23,Fulham,Fulham
Hjalmar Ekdal,DEF,2022-23,1,2023-24,15.0,0.0,0.0,40.0,Hjalmar Ekdal (2023-24),Ekdal: 23/24,Burnley,Burnley
George Baldock,DEF,2022-23,1,2023-24,21.0,0.0,2.0,40.0,George Baldock (2023-24),Baldock: 23/24,Sheffield Utd,Sheffield Utd
Tim Ream,DEF,2021-22,1,2022-23,98.0,1.0,0.0,45.0,Tim Ream (2022-23),Ream: 22/23,Fulham,Fulham
Alexander Mighten,MID,2021-22,1,2022-23,1.0,0.0,0.0,50.0,Alexander Mighten (2022-23),Mighten: 22/23,Nott'm Forest,Nott'm Forest
Jefferson Lerma,MID,2021-22,1,2022-23,101.0,5.0,0.0,50.0,Jefferson Lerma (2022-23),Lerma: 22/23,Bournemouth,Bournemouth
Lloyd Kelly,DEF,2021-22,1,2022-23,60.0,0.0,2.0,45.0,Lloyd Kelly (2022-23),Kelly: 22/23,Bournemouth,Bournemouth
Lewis Cook,MID,2021-22,1,2022-23,51.0,0.0,2.0,50.0,Lewis Cook (2022-23),Cook: 22/23,Bournemouth,Bournemouth
David Brooks,MID,2021-22,1,2022-23,5.0,0.0,0.0,55.0,David Brooks (2022-23),Brooks: 22/23,Bournemouth,Bournemouth
Samuel Bastien,MID,2022-23,1,2023-24,0.0,0.0,0.0,50.0,Samuel Bastien (2023-24),Bastien: 23/24,Burnley,Burnley
Amari'i Bell,DEF,2022-23,1,2023-24,35.0,0.0,0.0,40.0,Amari'i Bell (2023-24),Bell: 23/24,Luton,Luton
Jordan Beyer,DEF,2022-23,1,2023-24,30.0,0.0,1.0,40.0,Jordan Beyer (2023-24),Beyer: 23/24,Burnley,Burnley
Rhian Brewster,FWD,2022-23,1,2023-24,11.0,0.0,0.0,50.0,Rhian Brewster (2023-24),Brewster: 23/24,Sheffield Utd,Sheffield Utd
Josh Cullen,MID,2022-23,1,2023-24,65.0,2.0,4.0,50.0,Josh Cullen (2023-24),Cullen: 23/24,Burnley,Burnley
Grant Hanley,DEF,2016-17,1,2017-18,0.0,0.0,0.0,40.0,Grant Hanley (2017-18),Hanley: 17/18,Newcastle,Newcastle
Kieran Gibbs,DEF,2019-20,1,2020-21,5.0,0.0,0.0,45.0,Kieran Gibbs (2020-21),Gibbs: 20/21,West Brom,West Brom
Philip Zinckernagel,MID,2020-21,1,2021-22,0.0,0.0,0.0,55.0,Philip Zinckernagel (2021-22),Zinckernagel: 21/22,Watford,Watford
George Baldock,DEF,2018-19,1,2019-20,142.0,2.0,4.0,45.0,George Baldock (2019-20),Baldock: 19/20,Sheffield Utd,Sheffield Utd
Todd Cantwell,MID,2018-19,1,2019-20,111.0,6.0,2.0,45.0,Todd Cantwell (2019-20),Cantwell: 19/20,Norwich,Norwich
John Egan,DEF,2018-19,1,2019-20,133.0,2.0,1.0,45.0,John Egan (2019-20),Egan: 19/20,Sheffield Utd,Sheffield Utd
Andre Green,MID,2018-19,1,2019-20,0.0,0.0,0.0,50.0,Andre Green (2019-20),Green: 19/20,Aston Villa,Aston Villa
Grant Hanley,DEF,2018-19,1,2019-20,23.0,0.0,0.0,40.0,Grant Hanley (2019-20),Hanley: 19/20,Norwich,Norwich
Kortney Hause,DEF,2018-19,1,2019-20,34.0,1.0,0.0,45.0,Kortney Hause (2019-20),Hause: 19/20,Aston Villa,Aston Villa
Dennis Srbeny,FWD,2018-19,1,2019-20,13.0,1.0,0.0,55.0,Dennis Srbeny (2019-20),Srbeny: 19/20,Norwich,Norwich
Richard Stearman,DEF,2018-19,1,2019-20,0.0,0.0,0.0,40.0,Richard Stearman (2019-20),Stearman: 19/20,Sheffield Utd,Sheffield Utd
Alexander Tettey,MID,2018-19,1,2019-20,67.0,1.0,1.0,45.0,Alexander Tettey (2019-20),Tettey: 19/20,Norwich,Norwich
Tom Trybull,MID,2018-19,1,2019-20,28.0,0.0,0.0,45.0,Tom Trybull (2019-20),Trybull: 19/20,Norwich,Norwich
Stephen Ward,DEF,2015-16,1,2016-17,91.0,1.0,1.0,45.0,Stephen Ward (2016-17),Ward: 16/17,Burnley,Burnley
James Tarkowski,DEF,2015-16,1,2016-17,23.0,0.0,0.0,40.0,James Tarkowski (2016-17),Tarkowski: 16/17,Burnley,Burnley
Tim Ream,DEF,2017-18,1,2018-19,50.0,0.0,0.0,45.0,Tim Ream (2018-19),Ream: 18/19,Fulham,Fulham
Matthew Lowton,DEF,2015-16,1,2016-17,90.0,0.0,2.0,45.0,Matthew Lowton (2016-17),Lowton: 16/17,Burnley,Burnley
Danny Batth,DEF,2017-18,1,2018-19,0.0,0.0,0.0,40.0,Danny Batth (2018-19),Batth: 18/19,Wolves,Wolves
Uwe Hünemeier,DEF,2016-17,1,2017-18,1.0,0.0,0.0,40.0,Uwe Hünemeier (2017-18),Hünemeier: 17/18,Brighton,Brighton
Joe Lolley,MID,2016-17,1,2017-18,11.0,1.0,0.0,45.0,Joe Lolley (2017-18),Lolley: 17/18,Huddersfield,Huddersfield
Chancel Mbemba,DEF,2016-17,1,2017-18,20.0,0.0,0.0,40.0,Chancel Mbemba (2017-18),Mbemba: 17/18,Newcastle,Newcastle
Steven Sidwell,MID,2016-17,1,2017-18,0.0,0.0,0.0,45.0,Steven Sidwell (2017-18),Sidwell: 17/18,Brighton,Brighton
DeAndre Yedlin,DEF,2016-17,1,2017-18,88.0,0.0,2.0,45.0,DeAndre Yedlin (2017-18),Yedlin: 17/18,Newcastle,Newcastle
Joe Bennett,DEF,2017-18,1,2018-19,77.0,0.0,1.0,45.0,Joe Bennett (2018-19),Bennett: 18/19,Cardiff,Cardiff
Denis Odoi,DEF,2017-18,1,2018-19,44.0,0.0,1.0,45.0,Denis Odoi (2018-19),Odoi: 18/19,Fulham,Fulham
Ryan Bennett,DEF,2017-18,1,2018-19,89.0,1.0,0.0,40.0,Ryan Bennett (2018-19),Bennett: 18/19,Wolves,Wolves
Conor Coady,DEF,2017-18,1,2018-19,94.0,0.0,0.0,45.0,Conor Coady (2018-19),Coady: 18/19,Wolves,Wolves
Bright Enobakhare,MID,2017-18,1,2018-19,0.0,0.0,0.0,45.0,Bright Enobakhare (2018-19),Enobakhare: 18/19,Wolves,Wolves
Aron Gunnarsson,MID,2017-18,1,2018-19,65.0,1.0,1.0,45.0,Aron Gunnarsson (2018-19),Gunnarsson: 18/19,Cardiff,Cardiff
Shaun Maloney,MID,2015-16,1,2016-17,24.0,1.0,2.0,45.0,Shaun Maloney (2016-17),Maloney: 16/17,Hull,Hull
David Jones,MID,2015-16,1,2016-17,1.0,0.0,0.0,50.0,David Jones (2016-17),Jones: 16/17,Burnley,Burnley
Ben Wilmot,DEF,2020-21,1,2021-22,0.0,0.0,0.0,45.0,Ben Wilmot (2021-22),Wilmot: 21/22,Watford,Watford
Ethan Pinnock,DEF,2020-21,1,2021-22,90.0,1.0,1.0,45.0,Ethan Pinnock (2021-22),Pinnock: 21/22,Brentford,Brentford
Grant Hanley,DEF,2020-21,1,2021-22,71.0,1.0,0.0,45.0,Grant Hanley (2021-22),Hanley: 21/22,Norwich,Norwich
Rico Henry,DEF,2020-21,1,2021-22,108.0,3.0,0.0,45.0,Rico Henry (2021-22),Henry: 21/22,Brentford,Brentford
Christian Kabasele,DEF,2020-21,1,2021-22,21.0,0.0,0.0,45.0,Christian Kabasele (2021-22),Kabasele: 21/22,Watford,Watford
Josh Martin,MID,2020-21,1,2021-22,0.0,0.0,0.0,50.0,Josh Martin (2021-22),Martin: 21/22,Norwich,Norwich
Stipe Perica,FWD,2020-21,1,2021-22,0.0,0.0,0.0,45.0,Stipe Perica (2021-22),Perica: 21/22,Watford,Watford
Craig Cathcart,DEF,2020-21,1,2021-22,50.0,0.0,1.0,45.0,Craig Cathcart (2021-22),Cathcart: 21/22,Watford,Watford
Francisco Sierralta,DEF,2020-21,1,2021-22,5.0,0.0,0.0,45.0,Francisco Sierralta (2021-22),Sierralta: 21/22,Watford,Watford
Jacob Sørensen,DEF,2020-21,1,2021-22,9.0,0.0,0.0,45.0,Jacob Sørensen (2021-22),Sørensen: 21/22,Norwich,Norwich
Marco Stiepermann,MID,2020-21,1,2021-22,0.0,0.0,0.0,50.0,Marco Stiepermann (2021-22),Stiepermann: 21/22,Norwich,Norwich
Isaac Success,FWD,2020-21,1,2021-22,0.0,0.0,0.0,50.0,Isaac Success (2021-22),Success: 21/22,Watford,Watford
William Troost-Ekong,DEF,2020-21,1,2021-22,18.0,0.0,0.0,45.0,William Troost-Ekong (2021-22),Troost/Ekong: 21/22,Watford,Watford
Domingos Quina,MID,2020-21,1,2021-22,0.0,0.0,0.0,45.0,Domingos Quina (2021-22),Quina: 21/22,Watford,Watford
Alex Bruce,DEF,2015-16,1,2016-17,0.0,0.0,0.0,40.0,Alex Bruce (2016-17),Bruce: 16/17,Hull,Hull
Ahmed Hegazy,DEF,2019-20,1,2020-21,6.0,0.0,0.0,45.0,Ahmed Hegazy (2020-21),Hegazy: 20/21,West Brom,West Brom
Rouwen Hennings,FWD,2015-16,1,2016-17,0.0,0.0,0.0,45.0,Rouwen Hennings (2016-17),Hennings: 16/17,Burnley,Burnley
Kyle Bartley,DEF,2019-20,1,2020-21,79.0,3.0,1.0,45.0,Kyle Bartley (2020-21),Bartley: 20/21,West Brom,West Brom
Joe Bryan,DEF,2019-20,1,2020-21,27.0,1.0,1.0,50.0,Joe Bryan (2020-21),Bryan: 20/21,Fulham,Fulham
Cyrus Christie,DEF,2019-20,1,2020-21,0.0,0.0,0.0,45.0,Cyrus Christie (2020-21),Christie: 20/21,Fulham,Fulham
Jonathan Hogg,MID,2016-17,1,2017-18,53.0,0.0,0.0,45.0,Jonathan Hogg (2017-18),Hogg: 17/18,Huddersfield,Huddersfield
Romaine Sawyers,MID,2019-20,1,2020-21,33.0,0.0,0.0,50.0,Romaine Sawyers (2020-21),Sawyers: 20/21,West Brom,West Brom
Adam Clayton,MID,2015-16,1,2016-17,70.0,0.0,2.0,45.0,Adam Clayton (2016-17),Clayton: 16/17,Middlesbrough,Middlesbrough
Ben Gibson,DEF,2015-16,1,2016-17,121.0,1.0,1.0,45.0,Ben Gibson (2016-17),Gibson: 16/17,Middlesbrough,Middlesbrough
George Friend,DEF,2015-16,1,2016-17,59.0,0.0,3.0,45.0,George Friend (2016-17),Friend: 16/17,Middlesbrough,Middlesbrough
Michael Dawson,DEF,2015-16,1,2016-17,46.0,3.0,0.0,45.0,Michael Dawson (2016-17),Dawson: 16/17,Hull,Hull
Tendayi Darikwa,DEF,2015-16,1,2016-17,0.0,0.0,0.0,45.0,Tendayi Darikwa (2016-17),Darikwa: 16/17,Burnley,Burnley
Dan Potts,DEF,2022-23,1,2023-24,0.0,0.0,0.0,40.0,Dan Potts (2023-24),Potts: 23/24,Luton,Luton
Moussa Dembélé,MID,2015-16,15,2016-17,76.0,1.0,2.0,55.0,Moussa Dembélé (2016-17),Dembélé: 16-17,Fulham,Spurs
Benik Afobe,FWD,2015-16,9,2016-17,88.0,6.0,5.0,60.0,Benik Afobe (2016-17),Afobe: 16-17,Wolves,Bournemouth
Charlie Austin,FWD,2015-16,9,2016-17,62.0,6.0,1.0,65.0,Charlie Austin (2016-17),Austin: 16-17,Queens Park Rangers,Southampton
Ademola Lookman,MID,2015-16,5,2016-17,16.0,1.0,0.0,55.0,Ademola Lookman (2016-17),Lookman: 16-17,Charlton Athletic,Everton
Adam Reach,MID,2015-16,5,2016-17,0.0,0.0,0.0,45.0,Adam Reach (2016-17),Reach: 16-17,Preston North End,Middlesbrough
James Wilson,FWD,2015-16,5,2016-17,0.0,0.0,0.0,50.0,James Wilson (2016-17),Wilson: 16-17,Brighton,Man Utd
Ryan Fraser,MID,2015-16,4,2016-17,100.0,3.0,9.0,50.0,Ryan Fraser (2016-17),Fraser: 16-17,Ipswich,Bournemouth
Jake Livermore,MID,2015-16,4,2016-17,77.0,1.0,1.0,50.0,Jake Livermore (2016-17),Livermore: 16-17,Hull,West Brom
Chuba Akpom,FWD,2015-16,3,2016-17,0.0,0.0,0.0,55.0,Chuba Akpom (2016-17),Akpom: 16-17,Hull,Arsenal
Sam Byram,DEF,2015-16,3,2016-17,29.0,0.0,1.0,45.0,Sam Byram (2016-17),Byram: 16-17,Leeds,West Ham
Paul Robinson,GK,2015-16,3,2016-17,5.0,0.0,0.0,40.0,Paul Robinson (2016-17),Robinson: 16-17,Birmingham City,Burnley
Hal Robson-Kanu,FWD,2015-16,3,2016-17,52.0,3.0,2.0,50.0,Hal Robson-Kanu (2016-17),Robson-Kanu: 16-17,Reading FC,West Brom
Yaya Sanogo,FWD,2015-16,3,2016-17,0.0,0.0,0.0,50.0,Yaya Sanogo (2016-17),Sanogo: 16-17,Charlton Athletic,Arsenal
Robert Snodgrass,MID,2015-16,3,2016-17,133.0,7.0,6.0,55.0,Robert Snodgrass (2016-17),Snodgrass: 16-17,Hull,West Ham
Michail Antonio,MID,2015-16,2,2016-17,132.0,9.0,8.0,70.0,Michail Antonio (2016-17),Antonio: 16-17,Nott'm Forest,West Ham
Leroy Fer,MID,2015-16,2,2016-17,95.0,6.0,2.0,50.0,Leroy Fer (2016-17),Fer: 16-17,Queens Park Rangers,Swansea
Jeff Hendrick,MID,2015-16,2,2016-17,76.0,2.0,1.0,55.0,Jeff Hendrick (2016-17),Hendrick: 16-17,Derby County,Burnley
Lewis Cook,MID,2015-16,1,2016-17,17.0,0.0,2.0,45.0,Lewis Cook (2016-17),Cook: 16-17,Leeds,Bournemouth
Demarai Gray,MID,2015-16,1,2016-17,58.0,1.0,4.0,50.0,Demarai Gray (2016-17),Gray: 16-17,Birmingham City,Leicester
Rob Holding,DEF,2015-16,1,2016-17,32.0,0.0,0.0,45.0,Rob Holding (2016-17),Holding: 16-17,Bolton Wanderers,Arsenal
Emerson Hyndman,MID,2015-16,1,2016-17,0.0,0.0,0.0,45.0,Emerson Hyndman (2016-17),Hyndman: 16-17,Fulham,Bournemouth
Will Keane,FWD,2015-16,1,2016-17,8.0,0.0,0.0,45.0,Will Keane (2016-17),Keane: 16-17,Preston North End,Hull
Ainsley Maitland-Niles,MID,2015-16,1,2016-17,1.0,0.0,0.0,45.0,Ainsley Maitland-Niles (2016-17),Maitland-Niles: 16-17,Ipswich,Arsenal
Chris Wood,FWD,2016-17,27,2017-18,104.0,10.0,1.0,65.0,Chris Wood (2017-18),Wood: 17-18,Leeds,Burnley
Tammy Abraham,FWD,2016-17,23,2017-18,86.0,5.0,3.0,55.0,Tammy Abraham (2017-18),Abraham: 17-18,Bristol City,Swansea
Tom Ince,MID,2016-17,14,2017-18,82.0,2.0,1.0,60.0,Tom Ince (2017-18),Ince: 17-18,Derby County,Huddersfield
Jordan Hugill,FWD,2016-17,12,2017-18,3.0,0.0,0.0,55.0,Jordan Hugill (2017-18),Hugill: 17-18,Preston North End,West Ham
Danny Ward,GK,2016-17,11,2017-18,0.0,0.0,0.0,45.0,Danny Ward (2017-18),Ward: 17-18,Rotherham United,Liverpool
Nahki Wells,FWD,2016-17,10,2017-18,9.0,0.0,0.0,50.0,Nahki Wells (2017-18),Wells: 17-18,Huddersfield,Burnley
Jacob Murphy,MID,2016-17,9,2017-18,51.0,1.0,2.0,55.0,Jacob Murphy (2017-18),Murphy: 17-18,Norwich,Newcastle
Kyle Bartley,DEF,2016-17,6,2017-18,5.0,0.0,0.0,45.0,Kyle Bartley (2017-18),Bartley: 17-18,Leeds,Swansea
Scott Malone,DEF,2016-17,6,2017-18,41.0,0.0,1.0,45.0,Scott Malone (2017-18),Malone: 17-18,Fulham,Huddersfield
Alex Pritchard,MID,2016-17,6,2017-18,40.0,1.0,2.0,55.0,Alex Pritchard (2017-18),Pritchard: 17-18,Norwich,Huddersfield
Oliver Burke,MID,2016-17,4,2017-18,23.0,0.0,2.0,55.0,Oliver Burke (2017-18),Burke: 17-18,Nott'm Forest,West Brom
Kasey Palmer,MID,2016-17,4,2017-18,4.0,0.0,0.0,55.0,Kasey Palmer (2017-18),Palmer: 17-18,Huddersfield,Chelsea
Will Hughes,MID,2016-17,2,2017-18,53.0,2.0,3.0,50.0,Will Hughes (2017-18),Hughes: 17-18,Derby County,Watford
Matty James,MID,2016-17,1,2017-18,26.0,0.0,0.0,45.0,Matty James (2017-18),James: 17-18,Barnsley FC,Leicester
James Maddison,MID,2017-18,14,2018-19,137.0,7.0,7.0,65.0,James Maddison (2018-19),Maddison: 18-19,Norwich,Leicester
Kieran Dowell,MID,2017-18,9,2018-19,0.0,0.0,0.0,45.0,Kieran Dowell (2018-19),Dowell: 18-19,Nott'm Forest,Everton
Josh Murphy,MID,2017-18,7,2018-19,76.0,3.0,2.0,50.0,Josh Murphy (2018-19),Murphy: 18-19,Norwich,Cardiff
Sam Gallagher,FWD,2017-18,6,2018-19,4.0,0.0,0.0,45.0,Sam Gallagher (2018-19),Gallagher: 18-19,Birmingham City,Southampton
Adama Traoré,MID,2017-18,5,2018-19,44.0,1.0,1.0,55.0,Adama Traoré (2018-19),Traoré: 18-19,Middlesbrough,Wolves
Joe Bryan,DEF,2017-18,5,2018-19,52.0,0.0,1.0,50.0,Joe Bryan (2018-19),Bryan: 18-19,Bristol City,Fulham
Danny Ward,GK,2017-18,4,2018-19,0.0,0.0,0.0,45.0,Danny Ward (2018-19),Ward: 18-19,Cardiff,Leicester
David Brooks,MID,2017-18,3,2018-19,123.0,7.0,6.0,50.0,David Brooks (2018-19),Brooks: 18-19,Sheffield Utd,Bournemouth
Leandro Bacuna,DEF,2017-18,1,2018-19,17.0,0.0,1.0,45.0,Leandro Bacuna (2018-19),Bacuna: 18-19,Reading FC,Cardiff
Cyrus Christie,DEF,2017-18,1,2018-19,42.0,0.0,1.0,45.0,Cyrus Christie (2018-19),Christie: 18-19,Middlesbrough,Fulham
Greg Cunningham,DEF,2017-18,1,2018-19,9.0,0.0,0.0,45.0,Greg Cunningham (2018-19),Cunningham: 18-19,Preston North End,Cardiff
Ben Gibson,DEF,2017-18,1,2018-19,6.0,1.0,0.0,50.0,Ben Gibson (2018-19),Gibson: 18-19,Middlesbrough,Burnley
Chris Mepham,DEF,2017-18,1,2018-19,27.0,0.0,1.0,45.0,Chris Mepham (2018-19),Mepham: 18-19,Brentford,Bournemouth
Neal Maupay,FWD,2018-19,25,2019-20,131.0,10.0,3.0,60.0,Neal Maupay (2019-20),Maupay: 19-20,Brentford,Brighton
Jarrod Bowen,MID,2018-19,22,2019-20,44.0,1.0,4.0,65.0,Jarrod Bowen (2019-20),Bowen: 19-20,Hull,West Ham
Oliver McBurnie,FWD,2018-19,22,2019-20,86.0,6.0,1.0,60.0,Oliver McBurnie (2019-20),McBurnie: 19-20,Swansea City,Sheffield Utd
Jay Rodriguez,FWD,2018-19,22,2019-20,100.0,8.0,2.0,60.0,Jay Rodriguez (2019-20),Rodriguez: 19-20,West Brom,Burnley
Harry Wilson,MID,2018-19,15,2019-20,91.0,7.0,1.0,60.0,Harry Wilson (2019-20),Wilson: 19-20,Derby County,Bournemouth
Callum Robinson,MID,2018-19,12,2019-20,33.0,1.0,2.0,55.0,Callum Robinson (2019-20),Robinson: 19-20,Preston North End,Sheffield Utd
Mason Mount,MID,2018-19,8,2019-20,137.0,7.0,6.0,60.0,Mason Mount (2019-20),Mount: 19-20,Derby County,Chelsea
Luke Freeman,MID,2018-19,7,2019-20,13.0,0.0,0.0,55.0,Luke Freeman (2019-20),Freeman: 19-20,Queens Park Rangers,Sheffield Utd
Leon Clarke,FWD,2018-19,6,2019-20,2.0,0.0,0.0,45.0,Leon Clarke (2019-20),Clarke: 19-20,Wigan Athletic,Sheffield Utd
Josh Brownhill,MID,2018-19,5,2019-20,21.0,0.0,0.0,50.0,Josh Brownhill (2019-20),Brownhill: 19-20,Bristol City,Burnley
Reece James,DEF,2018-19,3,2019-20,61.0,0.0,2.0,50.0,Reece James (2019-20),James: 19-20,Wigan Athletic,Chelsea
Adam Webster,DEF,2018-19,3,2019-20,88.0,3.0,1.0,45.0,Adam Webster (2019-20),Webster: 19-20,Bristol City,Brighton
Muhamed Bešić,MID,2018-19,2,2019-20,9.0,0.0,0.0,45.0,Muhamed Bešić (2019-20),Bešić: 19-20,Middlesbrough,Sheffield Utd
Craig Dawson,DEF,2018-19,2,2019-20,61.0,2.0,0.0,50.0,Craig Dawson (2019-20),Dawson: 19-20,West Brom,Watford
Erik Pieters,DEF,2018-19,2,2019-20,77.0,0.0,5.0,45.0,Erik Pieters (2019-20),Pieters: 19-20,Stoke City,Burnley
Jack Robinson,DEF,2018-19,2,2019-20,14.0,0.0,0.0,40.0,Jack Robinson (2019-20),Robinson: 19-20,Nott'm Forest,Sheffield Utd
Lloyd Kelly,DEF,2018-19,1,2019-20,11.0,0.0,0.0,45.0,Lloyd Kelly (2019-20),Kelly: 19-20,Bristol City,Bournemouth
Ben Osborn,MID,2018-19,1,2019-20,19.0,0.0,0.0,50.0,Ben Osborn (2019-20),Osborn: 19-20,Nott'm Forest,Sheffield Utd
