Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Junior Hoilett,MID,2017-18,9,2018-19,82.0,3.0,2.0,55.0,Junior Hoilett (2018-19),Hoilett: 18/19,Cardiff,Cardiff
Jonathan Kodjia,FWD,2018-19,9,2019-20,5.0,0.0,0.0,55.0,Jonathan Kodjia (2019-20),Kodjia: 19/20,Aston Villa,Aston Villa
Marco Stiepermann,MID,2018-19,9,2019-20,32.0,0.0,0.0,55.0,Marco Stiepermann (2019-20),Stiepermann: 19/20,Norwich,Norwich
Pablo Hernández,MID,2019-20,9,2020-21,28.0,0.0,3.0,60.0,Pablo Hernández (2020-21),Hernández: 20/21,Leeds,Leeds
Neeskens Kebano,MID,2021-22,9,2022-23,40.0,0.0,4.0,55.0,Neeskens Kebano (2022-23),Kebano: 22/23,Fulham,Fulham
James McAtee,MID,2022-23,9,2023-24,77.0,3.0,4.0,45.0,James McAtee (2023-24),McAtee: 23/24,Sheffield Utd,Sheffield Utd
Momo Diamé,MID,2015-16,9,2016-17,0.0,0.0,0.0,55.0,Momo Diamé (2016-17),Diamé: 16/17,Hull,Hull
Sergi Canós,MID,2020-21,9,2021-22,81.0,3.0,3.0,55.0,Sergi Canós (2021-22),Canós: 21/22,Brentford,Brentford
Tom Cairney,MID,2019-20,8,2020-21,27.0,1.0,1.0,55.0,Tom Cairney (2020-21),Cairney: 20/21,Fulham,Fulham
Ryan Yates,MID,2021-22,8,2022-23,53.0,0.0,3.0,50.0,Ryan Yates (2022-23),Yates: 22/23,Nott'm Forest,Nott'm Forest
Lyle Taylor,FWD,2021-22,8,2022-23,0.0,0.0,0.0,45.0,Lyle Taylor (2022-23),Taylor: 22/23,Nott'm Forest,Nott'm Forest
Bobby De Cordova-Reid,MID,2021-22,8,2022-23,90.0,4.0,1.0,55.0,Bobby De Cordova-Reid (2022-23),De Cordova/Reid: 22/23,Fulham,Fulham
Stefan Johansen,MID,2017-18,8,2018-19,11.0,0.0,0.0,55.0,Stefan Johansen (2018-19),Johansen: 18/19,Fulham,Fulham
David Nugent,FWD,2015-16,8,2016-17,4.0,0.0,0.0,50.0,David Nugent (2016-17),Nugent: 16/17,Middlesbrough,Middlesbrough
Kamil Grosicki,MID,2019-20,8,2020-21,8.0,0.0,1.0,55.0,Kamil Grosicki (2020-21),Grosicki: 20/21,West Brom,West Brom
Jaidon Anthony,MID,2021-22,8,2022-23,61.0,3.0,1.0,55.0,Jaidon Anthony (2022-23),Anthony: 22/23,Bournemouth,Bournemouth
Onel Hernández,MID,2018-19,8,2019-20,52.0,1.0,2.0,55.0,Onel Hernández (2019-20),Hernández: 19/20,Norwich,Norwich
Scott Arfield,MID,2015-16,8,2016-17,69.0,1.0,2.0,55.0,Scott Arfield (2016-17),Arfield: 16/17,Burnley,Burnley
